ingresos,gastos_comunes,pago_coche,gastos_otros,ahorros,vivienda,estado_civil,hijos,trabajo,comprar
7877,1339,332,617,56941,300240,1,2,7,1
5848,819,168,652,69366,559906,2,2,5,0
7758,1086,70,230,51489,445679,0,0,3,1
6384,958,346,549,40804,333566,1,4,7,1
7777,1089,213,564,43472,303736,1,0,4,1
7505,1501,302,364,38328,487697,2,1,8,1
5791,811,208,417,40166,643683,1,0,4,0
5646,1016,215,747,69276,655399,0,0,1,0
6495,909,341,788,62320,625528,2,4,6,0
5264,1053,17,691,57408,364105,1,3,8,1
7033,1196,294,216,61329,667865,2,0,2,0
5502,715,299,705,48264,561852,0,0,4,0
6935,971,99,425,65541,662258,0,0,1,0
3586,932,81,382,35361,242562,0,0,3,0
4883,1025,25,444,27294,244767,2,1,5,1
4885,928,8,670,16671,181736,0,0,0,0
4403,1497,18,384,37034,391533,0,0,1,0
3026,787,21,397,30449,365493,0,0,4,0
4714,1414,403,557,37411,358242,2,0,1,0
2974,744,346,746,15982,360791,1,4,6,0
2550,510,73,434,15890,201278,2,3,5,0
3504,1051,447,351,29890,313542,0,0,0,0
2024,486,398,494,14569,234991,2,3,7,0
3084,678,432,448,17211,378697,1,3,5,0
3234,809,368,441,22523,213521,2,3,8,0
4749,1377,355,304,34841,328575,2,2,6,0
3602,1081,145,490,11083,394180,2,0,2,0
4203,1219,203,412,19568,310442,2,4,8,0
3685,1069,111,481,28379,282992,1,2,7,0
3039,1003,447,546,36807,274577,0,0,1,0
2485,572,90,432,18464,304018,1,2,7,0
3641,837,186,627,27808,273334,2,3,7,0
2151,688,95,382,12203,339143,2,1,6,0
2077,644,182,723,12596,310082,0,0,3,0
4276,941,390,728,11718,294150,0,0,3,0
2028,487,411,568,33194,264287,2,1,5,0
4943,1186,402,570,27644,390089,0,0,2,0
2593,596,248,708,16779,275509,2,2,8,0
2064,454,199,666,38718,356201,0,0,2,0
2614,732,375,527,21365,294601,0,0,2,0
4507,811,161,687,36284,211998,2,3,6,1
2028,690,167,325,37309,284984,2,0,3,0
2022,384,88,701,22210,291439,2,3,7,0
3608,686,195,406,36506,350589,1,1,8,0
3973,1112,440,630,17385,221634,2,2,7,0
3395,1120,234,597,37479,239707,1,2,8,0
4434,1375,167,734,29498,201983,0,0,0,0
4025,1369,32,493,38752,225841,1,4,5,1
2308,577,152,657,33131,257224,0,0,2,0
3169,1014,429,705,14867,177454,2,2,7,0
4708,1459,84,567,32314,379520,0,0,0,0
2265,430,394,745,19218,248465,0,0,2,0
2008,643,257,494,25658,180374,2,3,5,0
3796,1025,323,316,35445,210261,0,0,1,0
4653,1024,447,703,16952,392957,0,0,3,0
3390,881,194,584,34601,304112,2,2,5,0
2969,623,72,620,29663,289205,2,2,6,0
4169,1292,48,333,28503,239872,2,1,7,1
4054,1095,371,440,22183,223971,1,0,3,0
3831,690,352,488,10723,363120,0,0,2,0
3961,1030,270,475,21880,280421,2,3,8,0
3184,955,276,684,35565,388025,1,3,8,0
3334,867,369,652,19985,376892,1,2,5,0
3988,1157,105,382,11980,257580,0,0,4,0
5006,902,122,472,38884,372434,0,5,3,0
4918,1062,298,489,37907,373544,1,2,7,0
5032,1048,124,569,39683,374084,0,1,3,0
4918,1054,138,516,38714,373552,2,0,8,0
4893,872,291,456,39085,373130,1,2,1,0
5040,997,210,607,39726,373903,2,1,3,0
4962,1014,285,533,37864,374213,2,1,2,1
4873,1020,275,433,39416,372602,1,2,6,1
5000,886,170,528,39092,372948,1,4,8,0
4906,952,237,426,38463,374253,0,0,8,1
4987,886,288,518,39026,373589,0,3,5,1
5008,969,216,496,38880,373515,0,3,8,0
5013,875,132,584,39124,372718,2,0,3,0
4892,945,136,501,38775,374144,2,0,0,0
5053,1054,291,483,38580,373095,1,3,6,0
4893,906,207,419,39219,374295,1,0,3,1
5012,930,261,543,38913,373708,0,3,8,0
4931,984,211,527,38040,373839,1,1,4,1
5034,920,296,576,39510,373405,1,1,3,0
4964,1038,133,489,39315,374212,1,2,1,1
4919,1069,292,415,39209,373995,2,3,7,0
5055,1062,204,422,39483,374047,1,4,3,0
4893,918,307,538,38864,373833,1,0,6,1
4914,1003,306,588,38974,374088,2,0,2,0
4927,1048,132,538,38714,373638,0,5,7,1
4916,890,206,506,38997,374019,0,1,6,1
5035,907,191,557,39009,373828,1,2,2,0
4961,1000,155,604,39625,373151,2,2,5,0
5020,1013,138,438,37999,372802,0,4,1,0
5036,969,290,509,38485,373153,1,0,3,0
4952,964,123,587,38453,373518,1,1,8,0
4898,1046,262,479,38337,373809,1,3,6,1
4912,986,147,594,39732,374039,2,3,5,0
4978,897,120,450,38504,372792,2,4,4,0
5017,1018,263,574,38221,373277,0,2,6,1
5042,1017,292,472,38652,372393,2,2,7,1
4956,958,119,584,37997,373844,2,1,1,0
5055,939,267,464,38263,372477,0,4,1,0
4971,914,247,539,38309,372824,0,5,2,0
4914,1002,175,592,39222,373022,2,3,4,0
5029,929,254,565,38658,372415,1,0,7,1
4868,1004,293,542,37934,373025,0,2,7,0
4975,1025,313,557,38441,374030,2,0,0,1
5004,872,119,417,38380,372793,0,2,2,1
4947,935,209,479,39450,372678,2,2,0,1
5055,1005,259,452,38650,374109,2,4,6,1
4881,1027,300,613,38519,372556,2,2,0,1
4876,913,270,557,38686,373329,0,1,3,0
4925,931,180,478,38999,372890,2,4,0,0
4908,933,165,426,38777,374278,2,0,5,1
5032,953,272,545,38929,373266,0,2,5,1
5018,1059,180,611,39611,374151,0,2,7,1
4933,935,269,494,39335,372830,2,4,8,1
5029,1003,272,500,38111,372805,2,1,7,1
4889,932,296,613,38543,373106,0,1,1,1
5004,1004,180,578,38043,372682,0,3,5,0
4991,971,167,498,38582,374179,1,2,4,0
4970,903,190,460,38230,372541,0,2,6,0
5028,938,275,563,38272,372821,1,5,3,1
5011,985,226,442,38596,373681,2,2,2,1
5041,927,270,422,39721,372515,1,4,8,1
5038,1028,245,586,38010,373632,1,0,1,1
4967,973,162,516,38248,372396,1,3,2,1
4942,1015,167,584,38307,373609,2,0,6,1
4900,871,238,581,39017,372760,0,2,1,1
4881,993,213,478,38189,373417,1,1,7,1
4974,1023,312,509,38426,373643,0,3,2,0
5059,1061,281,537,38822,372491,1,2,0,0
4943,1047,190,604,38323,373126,0,3,6,0
5031,882,294,601,38210,372586,0,1,0,0
4921,892,294,557,38531,374074,1,5,6,1
4956,880,253,458,38093,372603,1,2,8,0
5024,923,268,463,37972,372542,2,4,0,0
4974,1031,291,563,39232,373814,0,0,8,1
4931,957,192,577,38171,374005,2,4,7,0
5032,1052,283,461,39286,373890,0,0,3,1
4961,927,178,426,38251,373526,2,2,8,1
4924,1040,199,540,38799,372425,0,1,6,1
5042,977,198,462,39296,374307,2,5,0,1
5021,969,244,510,38423,373928,1,2,1,0
4961,879,145,566,37887,373087,0,5,0,1
5031,924,163,476,39635,373724,2,1,2,1
4952,932,180,509,38881,373969,0,1,7,0
5045,988,204,570,38836,373593,2,5,1,0
4982,916,307,432,39154,374246,0,5,7,1
5046,1055,132,614,38434,373548,1,5,0,1
5000,913,278,560,39697,372597,0,2,2,1
4870,953,202,610,38326,373236,2,0,6,0
4988,974,284,510,38659,373501,2,0,8,1
4941,1053,261,527,39101,374057,0,3,3,0
5021,1061,276,466,39668,373774,1,4,6,0
4995,927,205,584,37901,372597,1,1,2,1
5044,1004,119,467,39244,373842,1,3,2,1
5034,945,141,483,38174,373439,2,1,3,1
4927,905,163,487,38131,374090,0,4,5,0
5003,898,160,445,38091,373962,0,3,2,1
4881,1038,314,464,38579,373069,1,0,0,1
4989,876,189,423,39197,372527,1,3,4,0
4986,1020,137,461,38688,374092,0,0,0,1
4921,968,196,526,37897,374205,2,1,2,0
4980,1063,277,449,38509,373295,2,2,2,1
5041,991,229,449,37962,372561,0,4,2,1
4882,1054,116,601,38125,372613,2,3,1,0
4913,987,126,480,39094,373372,1,0,5,0
4889,955,117,451,37928,374198,1,4,8,1
4875,980,298,588,38060,373698,0,4,7,0
4956,1014,276,573,39357,373200,0,2,0,1
4933,967,188,499,38991,372698,1,4,2,1
4945,882,123,452,39351,372937,2,0,8,0
5022,901,273,570,38895,372543,1,1,0,1
4986,881,311,497,39180,374230,1,3,7,1
5060,942,157,588,38269,373064,1,5,2,0
4963,1053,251,515,39445,373130,0,2,8,0
4979,1046,287,584,39064,373319,0,4,5,1
5018,1047,261,507,39358,373126,2,0,5,1
4956,989,240,521,38202,373320,2,5,2,0
4942,980,272,436,39396,373836,2,2,7,0
4882,991,210,491,39048,373874,1,0,6,0
4909,882,230,418,39488,374110,1,0,0,0
5015,979,128,462,38706,373178,2,4,0,1
4880,1069,219,442,39618,373968,0,5,3,1
4986,1018,116,482,38593,372524,0,3,6,1
4918,1056,159,512,39248,374140,2,3,4,0
5007,1035,133,520,38006,372626,1,1,7,1
4933,980,304,503,38119,374094,1,2,2,0
4907,954,138,523,39708,372896,1,2,5,1
5004,1053,152,569,38728,373161,2,1,1,1
5039,1017,171,416,39161,373076,2,3,0,0
4965,946,212,587,38900,374126,0,3,6,0
5047,1047,312,469,38011,373378,1,3,6,1
4933,1060,175,478,39576,373688,2,0,4,1
4935,968,278,581,39090,372560,2,1,0,0
4979,918,256,428,39441,373944,1,1,3,1
4865,1009,264,576,37885,372602,0,3,0,0
4938,1059,287,610,38065,373904,2,4,1,1
5045,911,154,416,38915,374067,0,3,3,0
4944,965,280,482,38625,373897,1,2,5,1
4916,914,165,551,38522,374291,0,3,5,1
4958,1033,293,500,39424,373837,2,3,2,1
4895,981,214,460,39577,374228,0,1,6,1
4914,889,182,597,38728,373951,2,4,4,0
5061,893,256,494,39473,373008,2,0,7,0
5057,1041,176,606,38783,374313,2,5,3,1
4902,977,166,493,38104,373342,1,0,1,0
4937,876,164,458,39332,373196,0,4,3,0
5057,964,203,429,37815,373466,2,4,6,1
4999,911,135,554,38128,374000,2,3,6,1
4890,896,117,509,38975,373305,0,5,4,0
5007,888,138,471,38703,373126,2,2,5,0
5040,962,282,535,38109,373844,1,2,4,0
5062,1005,196,612,38722,374082,2,3,0,0
4929,893,244,444,38564,373310,0,1,7,0
5006,1021,259,568,39260,373396,2,5,0,1
5056,892,214,614,38565,373870,0,5,0,1
4936,918,120,427,39515,373225,1,2,7,0
4905,883,182,528,38955,373947,0,4,4,0
4989,880,205,546,38770,373148,0,4,8,1
4971,956,221,600,39579,372919,0,5,3,1
5007,999,201,529,38284,373417,2,2,7,1
4988,1048,224,518,38948,373977,0,0,1,1
4963,920,134,466,38213,374241,0,2,1,1
4959,975,213,510,38144,373904,2,2,7,0
5022,1002,122,545,37774,373717,2,5,1,1
4876,950,213,564,38386,372790,2,3,8,1
4866,995,260,461,39516,372896,2,5,8,1
4894,880,163,533,38414,373914,1,3,7,0
4979,945,151,571,38482,373329,2,3,2,0
5000,1027,294,458,39707,373599,0,2,2,1
4876,991,275,566,38663,373168,2,4,2,1
4921,931,118,441,37775,372786,0,3,2,0
5016,1056,164,578,39284,372465,2,1,7,1
4875,946,245,524,39656,373981,1,1,5,1
5054,953,138,418,39290,373035,0,4,4,1
4876,875,144,494,38952,372464,1,4,7,0
5048,1033,165,423,39099,372660,0,0,5,1
4892,993,298,488,39339,372815,0,5,7,1
5059,990,198,480,39615,372467,2,5,0,0
4968,997,154,513,38992,374104,1,5,5,0
4891,982,146,615,37888,372606,2,1,7,1
5007,1017,282,581,38479,374344,0,1,1,1
4874,1001,296,492,39161,372823,1,5,5,0
4997,901,216,500,38056,372796,2,5,8,1
5036,1037,255,537,38832,373717,0,0,1,1
4878,1028,196,613,39482,373688,2,4,3,0
5025,1009,217,514,38386,372536,0,0,5,0
4951,930,247,493,39736,374318,2,3,7,0
4888,918,272,464,38757,372850,0,4,8,1
4899,1030,166,523,38017,372967,2,1,7,0
4882,964,225,590,38663,373870,0,5,8,0
4956,973,276,552,39721,372966,1,1,1,0
5046,957,197,542,39445,374276,0,4,5,0
4896,960,164,425,37840,373156,1,0,1,0
5001,1036,137,576,38928,372746,1,5,4,1
4943,893,134,609,38645,373998,0,1,3,0
4900,1012,281,601,37964,372741,1,3,3,0
4959,917,145,573,39053,373549,2,5,4,0
4978,1047,192,514,39340,373135,2,5,5,1
4977,1050,239,598,38141,373326,1,5,8,1
4975,935,248,440,37820,373631,0,3,8,0
4940,1046,150,493,39621,374130,0,3,3,1
4889,1033,183,597,37946,373096,1,5,0,0
5021,958,255,472,39087,373591,2,0,2,1
4898,959,204,522,38955,373207,0,4,7,1
5027,924,215,454,38144,374257,0,4,7,1
5021,1039,252,515,37842,373837,0,4,6,0
4871,1028,205,540,38870,373956,0,4,3,0
5028,897,168,497,39391,373594,2,3,0,1
4944,958,123,545,39529,373165,2,3,2,0
4976,945,231,536,39541,372637,0,3,1,1
4969,961,115,476,38126,373350,1,0,3,0
4896,958,206,519,39226,372967,2,4,4,1
4918,1000,278,526,39465,373112,0,0,2,1
4966,992,205,497,39299,373920,1,1,1,1
4890,953,119,579,39232,372549,2,0,1,0
4865,895,288,465,38997,372921,0,1,7,0
5031,907,262,598,39694,373496,1,1,2,0
5008,1024,124,522,38472,372608,2,1,6,0
5024,981,218,592,38589,373656,0,4,0,1
5019,1020,210,580,38049,373541,0,2,3,0
4907,1004,302,439,38590,372883,2,0,5,0
4979,1057,153,474,38613,373769,2,5,1,1
5052,1066,136,611,38026,373033,2,0,5,0
4941,997,133,596,39353,373432,2,4,4,0
5029,886,188,613,38153,374210,2,1,4,0
5060,890,272,563,38590,372802,1,1,6,0
4865,1037,159,457,38553,374283,2,4,7,1
5024,917,288,531,38196,374317,1,3,1,1
4992,973,142,542,39310,373148,2,0,4,0
4903,917,120,419,38674,374113,2,5,0,1
4945,993,304,582,39262,373810,2,2,5,0
4893,919,303,479,39581,373073,0,5,7,1
4977,1003,295,449,38700,373443,0,3,2,1
4890,910,270,431,38976,373229,0,5,8,0
4922,932,124,564,38785,372415,1,4,5,1
4973,897,226,532,39749,374271,1,1,0,0
4895,922,150,478,37990,372858,2,0,2,1
4924,955,200,449,38631,374263,0,0,4,1
5010,944,135,444,39297,372481,1,4,8,0
4882,898,278,573,38770,372709,1,3,7,0
4979,931,305,600,37789,373917,1,5,8,1
4878,971,120,435,38837,372940,2,4,5,0
4953,1044,305,474,38446,373374,2,5,6,0
4928,1023,281,510,39203,373051,0,1,5,1
5040,911,181,545,39090,374176,2,2,6,1
4999,1063,156,564,38767,373875,0,1,2,1
5002,871,258,484,38855,372848,0,2,5,0
4884,1066,125,613,39470,373521,0,3,1,1
4922,1022,286,508,38514,373917,0,2,4,1
4878,972,243,560,38152,374127,1,0,1,1
4899,1044,178,498,38716,373735,0,2,2,1
4897,951,204,592,39023,374246,2,0,0,0
4977,1009,231,498,39445,372854,0,2,4,1
4962,901,309,485,39466,372496,0,0,5,0
4966,979,210,595,39149,372443,0,0,2,0
5049,1037,295,569,39547,373085,1,1,3,1
4920,1045,195,484,39762,373678,1,0,5,1
5043,1008,239,531,37803,372443,0,1,8,1
4898,1034,296,590,37919,374181,1,0,1,1
4897,978,289,441,38148,373795,1,1,1,1
5009,891,157,613,39120,373120,2,5,2,1
5014,888,155,599,38937,373469,0,4,2,1
4865,917,210,484,39171,373681,2,0,2,0
5006,974,175,442,38682,374091,1,0,0,0
4967,921,162,485,38171,372509,1,5,0,1
5039,985,240,452,38105,372397,1,5,5,1
5046,873,123,567,38640,373125,2,1,7,1
4930,950,230,421,38397,373358,2,5,0,1
4956,915,233,479,39042,372580,2,0,1,1
5031,945,217,541,37929,374090,2,4,8,1
4893,917,198,590,39620,374063,1,4,2,0
4875,1006,210,431,38307,373320,0,2,4,1
4940,977,152,596,38290,373211,1,4,1,0
5054,1059,271,561,38605,372915,2,1,2,0
5032,960,282,421,39595,372987,1,5,5,1
5005,881,223,551,37907,373132,2,4,0,0
4920,913,264,552,38910,372750,2,2,0,0
5056,937,310,562,38549,372648,2,4,8,0
4909,1055,245,609,37857,373358,0,0,7,1
4963,904,251,477,39391,372571,0,5,0,1
4909,886,165,503,39699,373358,2,5,6,0
4999,1054,161,616,38828,373118,0,0,8,1
4891,885,149,604,37891,373487,0,2,3,1
4979,985,144,442,38407,374270,2,4,7,1
4953,983,311,543,38798,372785,1,3,5,1
5048,1046,155,470,39207,372793,2,1,6,1
4865,1056,278,612,38373,373867,1,2,2,0
5005,947,219,493,37986,373827,1,0,1,1
5059,968,246,612,38481,372939,2,5,3,1
4929,1049,313,598,38380,373817,2,1,2,1
5043,1055,145,442,38876,374159,2,1,0,0
4972,969,165,517,38305,373822,0,5,0,0
5055,948,213,595,38016,373135,0,4,5,0
4984,1046,280,555,39199,374226,0,2,8,0
4890,943,115,585,37966,373522,1,0,0,1
4887,968,312,594,39273,372435,2,3,1,1
4967,932,212,494,38218,374371,0,0,2,0
4950,1016,196,449,38301,372477,2,2,8,0
5010,921,238,429,38985,373158,2,3,0,0
4954,988,166,514,39488,372746,1,0,7,1
4863,996,124,548,38735,373010,0,5,0,1
4917,910,259,454,39700,373204,0,2,4,1
5058,891,172,487,39443,373996,0,4,1,1
4906,991,298,532,38254,374336,0,3,5,1
4976,930,155,463,37882,373310,1,1,2,0
4895,995,245,518,38273,373744,1,5,0,0
5038,954,285,523,38397,373377,2,1,3,0
4864,952,248,506,39101,373982,2,3,2,0
4931,974,163,458,37786,372971,1,0,3,1
5000,897,186,436,38303,372396,1,4,6,0
4886,976,287,523,39227,374341,0,1,2,0
4981,994,210,443,38206,374204,1,2,2,1
5017,962,280,547,39707,372439,2,2,3,1
4995,874,280,577,38936,374208,0,0,0,1
4916,908,125,469,39628,373899,0,2,0,0
5027,1040,215,599,39191,373128,0,2,2,0
4991,1016,250,489,38509,374230,2,4,7,1
5060,1004,280,610,37754,373669,0,1,2,0
4878,932,162,518,39751,374302,1,1,4,0
4996,1025,160,428,38778,373996,1,0,8,0
4862,918,287,561,39006,373428,1,0,6,0
4934,1029,273,595,37805,373048,2,2,3,1
4878,871,137,609,37817,372935,0,1,8,1
4921,991,294,460,38584,372865,1,0,1,0
5042,987,242,560,39265,373526,1,3,3,1
4872,892,138,607,38738,373763,0,0,5,0
5035,954,215,528,38948,372427,2,1,6,0
4892,1060,135,491,38359,372857,2,2,8,1
5029,880,219,594,38056,372536,1,0,4,0
4980,1029,222,568,37849,374252,0,0,0,0
4862,969,233,468,39198,373673,1,5,1,0
4947,880,143,548,37779,373531,0,3,6,1
4864,899,169,552,38761,372869,1,1,1,0
5044,1067,243,494,38960,372697,1,5,1,1
4999,875,195,583,37805,373736,1,2,2,1
4997,973,205,456,38228,374185,0,4,1,1
4907,1049,122,608,39409,372768,0,2,0,1
4865,982,234,476,39553,373622,1,1,3,0
5024,1008,149,524,39215,374373,1,5,8,0
4914,954,299,595,39022,373550,2,1,1,1
4955,929,294,482,38067,374021,0,0,4,1
5048,931,252,492,39680,374004,0,4,1,0
5018,942,255,447,38783,373233,1,2,7,1
4880,871,249,514,39058,372747,2,4,1,1
4896,1034,146,498,38761,374142,1,3,1,1
5042,926,118,429,39459,373069,0,2,5,1
4980,913,194,609,38935,374085,1,3,6,0
4971,1060,244,499,39116,372737,1,3,0,1
4946,957,198,618,39065,374217,1,5,4,1
4886,1038,289,587,37981,373628,2,3,8,0
4914,1051,266,555,37945,374106,1,5,0,0
4898,1022,153,521,37918,372567,0,4,8,0
4956,1027,152,428,39570,374242,2,4,3,0
4964,1021,124,573,38269,372914,0,5,8,0
4982,1015,307,487,37995,373144,2,4,2,0
5049,884,238,519,38061,373558,1,3,7,1
5040,884,168,524,38180,372565,2,1,8,0
4969,1035,195,530,38564,373112,0,5,1,0
4941,890,297,490,37788,373914,0,5,1,1
5020,1062,230,505,38971,372711,0,4,2,0
4931,986,243,607,38184,373460,2,2,6,0
4945,959,277,544,38775,373017,1,4,5,0
4998,882,172,590,38971,372801,1,5,3,0
4862,913,161,497,38150,373601,2,4,5,1
4870,1024,125,439,39630,373908,2,0,5,1
4933,1017,202,492,38660,373028,1,3,6,1
5028,1003,267,499,37777,372883,1,0,1,0
5039,1044,265,436,39396,372856,0,1,3,0
4923,992,221,480,38173,372749,2,2,5,0
4998,997,182,546,38580,373984,1,4,3,0
5016,1006,113,497,39244,373223,2,3,5,1
4944,946,266,508,39487,373300,2,4,5,0
4873,872,229,444,39285,373659,1,0,3,0
4956,963,207,517,39108,373225,0,4,6,0
5057,981,265,555,39426,373063,2,3,5,1
4885,997,254,459,38833,372654,2,1,7,1
4997,911,227,530,38989,373991,0,2,6,1
4891,1057,187,614,38465,374328,0,3,1,0
5032,1045,221,463,38108,373390,2,0,4,0
5018,1036,239,609,37889,373021,2,0,8,0
4986,926,124,526,39706,374065,1,1,2,1
4910,1019,159,478,39464,374051,2,0,4,0
4971,918,190,616,39141,373454,0,1,6,1
4976,988,306,523,37787,372616,0,2,4,0
4867,984,302,460,39073,374072,2,5,3,1
4979,1003,162,595,39464,373563,0,2,7,0
5000,900,137,584,38556,373628,2,0,8,1
5052,930,237,542,39333,373093,0,0,4,1
4995,936,290,543,37903,374024,2,5,8,0
4983,973,237,474,39394,372571,1,4,7,0
4897,1054,303,464,37803,373582,0,3,0,1
4965,940,256,418,38818,373178,2,4,6,0
