edad,trabajo,estado_civil ,educacion,total_hijos,credito_sin_pago,prestamo_vivienda,prestamo_personal,valor_prestamo,dias_ultimo_pago,tarjetas_credito,contacto,mes,dia_semana,duracion_ultimo_contacto,dias_ultimo_contacto,anterior_contacto,numero_empleados,si_no
29,technician,married,Technological_school,2,no,yes,no,207169,0,2,cellular,jun,fri,365,35,0,1673,1
32,services,divorced,tecnical_school,0,unknown,no,no,0,0,2,cellular,jul,wed,68,0,0,304,0
36,blue-collar,married,primary_school,5,unknown,no,no,0,0,3,cellular,may,wed,54,0,2,872,0
29,blue-collar,married,preschool,3,no,yes,yes,70142,0,2,cellular,jul,mon,93,6,0,1934,0
47,technician,married,Technological_school,4,unknown,no,no,0,0,4,cellular,apr,mon,267,0,1,1664,0
44,blue-collar,married,preschool,2,no,yes,no,93133,0,2,telephone,jun,mon,17,26,0,1683,0
54,management,married,university.degree,7,no,yes,yes,110508,0,2,cellular,aug,thu,121,67,0,285,0
36,blue-collar,married,tecnical_school,4,no,no,no,0,0,1,telephone,may,thu,294,0,0,1833,0
42,blue-collar,married,preschool,6,no,yes,no,252380,0,4,telephone,may,wed,24,9,0,1349,0
44,blue-collar,married,preschool,1,no,no,no,0,0,2,cellular,jul,tue,345,0,0,1097,0
72,retired,divorced,primary_school,3,no,yes,no,349026,0,3,cellular,nov,wed,244,81,0,1085,1
48,blue-collar,married,tecnical_school,1,unknown,no,no,0,0,2,cellular,aug,tue,213,0,0,239,0
36,management,married,Technological_school,2,unknown,yes,no,134584,0,0,cellular,nov,thu,371,41,0,120,0
35,housemaid,married,preschool,8,no,yes,no,491256,0,2,cellular,aug,mon,87,1,0,570,0
43,entrepreneur,married,primary_school,6,no,yes,no,134335,0,5,cellular,may,mon,195,70,1,16,0
56,retired,married,preschool,6,unknown,yes,no,379441,0,0,cellular,aug,wed,102,15,0,623,0
42,blue-collar,married,tecnical_school,0,unknown,yes,no,320511,0,5,telephone,jun,fri,93,2,0,1489,0
31,admin.,single,university.degree,3,no,yes,no,127311,0,5,cellular,may,mon,244,43,0,146,0
32,technician,married,tecnical_school,7,unknown,no,no,0,0,0,telephone,jun,thu,52,0,0,1555,0
33,blue-collar,married,Technological_school,6,unknown,yes,yes,65679,0,2,cellular,may,mon,164,43,1,338,0
31,blue-collar,married,primary_school,2,unknown,no,no,0,0,3,telephone,jun,wed,91,0,0,1324,0
39,management,married,university.degree,4,no,yes,no,292871,0,3,telephone,may,wed,68,5,0,936,0
30,blue-collar,married,Technological_school,8,no,no,no,0,0,1,telephone,may,mon,122,0,0,405,0
24,management,single,university.degree,2,no,yes,no,498338,0,5,cellular,may,thu,45,27,1,111,0
24,admin.,married,Technological_school,3,no,no,yes,145556,0,3,telephone,may,mon,61,23,0,970,0
38,blue-collar,married,professional.course,3,no,yes,no,240951,0,0,telephone,may,wed,162,82,0,343,0
26,blue-collar,married,Technological_school,1,no,yes,no,307525,0,2,telephone,jun,wed,126,80,0,833,0
41,technician,married,professional.course,0,no,no,no,0,0,5,telephone,may,tue,92,0,0,952,0
34,admin.,married,Technological_school,1,no,yes,yes,223541,0,3,cellular,apr,fri,329,41,0,195,0
30,management,married,university.degree,1,no,no,no,0,0,2,cellular,mar,mon,116,0,0,1159,1
37,admin.,married,university.degree,3,no,yes,no,104087,0,3,cellular,nov,fri,450,35,0,550,0
68,retired,married,preschool,7,no,yes,no,319413,0,2,cellular,jul,wed,665,52,0,1198,0
31,admin.,single,Technological_school,7,no,no,no,0,0,0,cellular,jul,fri,168,0,0,1281,0
48,technician,divorced,university.degree,6,no,yes,no,413250,0,2,cellular,apr,thu,132,85,0,921,0
33,technician,married,professional.course,6,no,yes,no,65804,0,1,telephone,may,mon,349,59,0,1018,0
59,self-employed,single,university.degree,5,no,yes,no,268331,0,0,telephone,may,fri,249,34,0,1886,0
44,blue-collar,married,unknown,3,unknown,yes,no,164721,0,5,telephone,may,tue,336,23,0,1838,0
28,unknown,single,unknown,7,unknown,yes,no,434156,0,1,telephone,jun,thu,169,18,0,1965,0
50,management,married,university.degree,3,no,no,no,0,0,5,cellular,aug,tue,89,0,1,1636,0
33,entrepreneur,married,university.degree,8,no,no,no,0,0,3,cellular,nov,thu,55,0,0,802,0
45,services,married,professional.course,5,no,yes,no,38721,0,0,telephone,may,mon,221,54,0,1070,0
40,management,married,university.degree,8,no,no,no,0,0,5,cellular,jul,mon,77,0,0,1093,0
45,services,married,professional.course,5,no,no,no,0,0,2,telephone,aug,thu,64,0,0,1649,0
43,technician,divorced,university.degree,8,unknown,no,no,0,0,4,telephone,may,mon,62,0,0,1063,0
54,blue-collar,married,professional.course,5,unknown,yes,yes,223834,0,5,telephone,may,mon,198,41,0,737,0
53,technician,divorced,professional.course,8,no,no,no,0,0,5,telephone,may,tue,249,0,0,624,0
35,self-employed,single,university.degree,7,no,yes,no,417506,0,3,cellular,jul,thu,106,17,0,632,0
30,technician,single,professional.course,4,no,yes,no,412999,0,1,cellular,aug,fri,445,58,0,57,0
25,technician,married,professional.course,0,no,yes,no,499034,0,4,telephone,jun,wed,149,53,0,695,0
35,services,divorced,professional.course,2,yes,no,yes,283382,26,2,cellular,aug,thu,66,4,0,561,0
54,admin.,married,university.degree,8,no,yes,no,36657,0,5,cellular,mar,mon,415,21,0,1707,1
30,blue-collar,married,primary_school,6,no,no,no,0,0,3,cellular,jul,mon,173,0,0,1565,0
38,admin.,married,university.degree,2,unknown,yes,no,487315,0,2,cellular,aug,tue,173,25,0,82,0
35,admin.,married,university.degree,6,no,yes,no,131035,0,2,cellular,oct,thu,86,69,1,488,0
47,blue-collar,married,professional.course,6,unknown,yes,no,185931,0,3,telephone,may,wed,131,21,0,134,0
32,blue-collar,single,Technological_school,3,no,yes,no,170142,0,1,cellular,jul,tue,523,27,0,1206,0
27,blue-collar,married,tecnical_school,4,no,yes,no,312375,0,5,telephone,may,tue,383,81,0,462,0
40,blue-collar,married,tecnical_school,5,no,unknown,unknown,0,0,0,telephone,nov,thu,160,0,0,1212,1
31,admin.,married,Technological_school,0,no,no,no,0,0,5,telephone,may,mon,220,0,0,814,0
42,blue-collar,divorced,tecnical_school,8,no,no,no,0,0,1,cellular,apr,mon,20,0,0,827,0
40,blue-collar,married,primary_school,6,no,yes,no,260626,0,3,cellular,may,thu,160,31,0,659,0
31,admin.,single,Technological_school,1,no,yes,no,311618,0,0,cellular,nov,wed,79,31,0,303,0
57,technician,married,preschool,7,unknown,no,no,0,0,4,telephone,jun,thu,243,0,0,269,0
38,admin.,single,Technological_school,7,no,yes,no,128862,0,3,cellular,apr,thu,882,23,1,885,1
39,services,married,Technological_school,8,unknown,no,no,0,0,4,telephone,may,mon,5,0,0,1502,0
37,admin.,divorced,Technological_school,7,unknown,yes,yes,476187,0,5,telephone,may,wed,354,61,0,1541,0
50,unemployed,married,professional.course,8,unknown,yes,yes,40502,0,3,cellular,jul,thu,225,28,0,415,0
33,blue-collar,single,preschool,7,no,yes,yes,296821,0,2,cellular,apr,thu,460,0,0,209,1
41,blue-collar,married,primary_school,7,no,unknown,unknown,0,0,0,telephone,jun,tue,202,0,0,1032,0
37,entrepreneur,married,primary_school,1,unknown,unknown,unknown,0,0,4,telephone,may,fri,71,0,0,1605,0
25,student,single,Technological_school,4,no,no,no,0,0,0,cellular,apr,wed,54,0,0,32,0
35,admin.,married,Technological_school,7,unknown,no,no,0,0,1,cellular,jul,fri,451,0,0,789,0
46,management,married,university.degree,7,no,no,no,0,0,2,cellular,jul,mon,662,0,0,484,1
29,admin.,divorced,university.degree,7,no,no,no,0,0,0,telephone,jun,mon,187,0,0,623,0
35,admin.,married,university.degree,4,no,yes,no,354898,0,1,cellular,aug,thu,82,18,0,1113,0
48,entrepreneur,single,professional.course,8,no,yes,no,295631,0,3,cellular,may,wed,606,39,0,249,0
31,self-employed,single,university.degree,7,no,no,no,0,0,3,cellular,oct,fri,76,0,0,92,0
33,blue-collar,divorced,tecnical_school,4,no,no,yes,40983,0,1,telephone,may,thu,18,38,1,1194,0
63,retired,divorced,university.degree,6,no,no,yes,408638,0,0,cellular,jul,thu,317,36,1,553,0
38,admin.,married,Technological_school,6,no,yes,no,481576,0,3,cellular,nov,tue,67,49,0,1451,0
34,admin.,divorced,Technological_school,4,no,no,no,0,0,2,cellular,nov,tue,492,0,3,1102,0
34,services,divorced,Technological_school,8,no,no,no,0,0,1,telephone,jul,thu,212,0,0,1201,0
47,management,married,university.degree,2,no,yes,no,311322,0,5,telephone,may,wed,267,49,3,1338,0
27,blue-collar,single,tecnical_school,4,no,yes,no,209694,0,0,telephone,may,wed,185,6,0,14,0
24,admin.,single,university.degree,6,no,no,no,0,0,0,cellular,aug,fri,744,0,2,888,1
36,blue-collar,married,tecnical_school,5,no,yes,no,224587,0,0,cellular,may,wed,499,6,0,868,0
29,services,single,Technological_school,3,unknown,no,no,0,0,2,telephone,jun,mon,123,0,0,1641,0
58,retired,married,tecnical_school,3,no,yes,no,41667,0,4,telephone,jun,mon,198,63,0,1669,0
40,technician,married,professional.course,0,no,no,no,0,0,4,cellular,aug,tue,156,0,0,107,0
31,admin.,single,university.degree,2,no,yes,no,123345,0,0,cellular,aug,thu,98,37,0,280,0
60,retired,married,preschool,6,unknown,no,no,0,0,0,cellular,aug,tue,332,0,0,694,0
58,housemaid,married,preschool,3,unknown,yes,no,56469,0,3,telephone,jul,tue,35,4,0,681,0
32,blue-collar,single,tecnical_school,4,no,yes,no,297910,0,1,cellular,jul,tue,124,65,0,147,0
54,admin.,divorced,university.degree,6,no,no,no,0,0,0,telephone,jun,tue,213,0,0,1069,0
43,technician,married,professional.course,8,unknown,yes,no,476211,0,4,cellular,aug,mon,145,7,0,1876,0
48,retired,married,preschool,1,unknown,no,no,0,0,3,telephone,jun,wed,145,0,0,1699,0
33,admin.,married,university.degree,5,no,yes,no,229614,0,4,cellular,nov,thu,195,40,0,1216,0
37,blue-collar,married,tecnical_school,8,unknown,no,no,0,0,1,telephone,jul,mon,179,0,0,132,0
35,services,divorced,professional.course,1,unknown,no,no,0,0,4,telephone,may,wed,184,0,0,841,0
34,services,married,Technological_school,4,no,no,no,0,0,5,telephone,may,thu,285,0,0,712,0
30,technician,single,university.degree,1,no,yes,no,174997,0,2,cellular,aug,thu,31,62,0,1773,0
38,admin.,married,tecnical_school,6,unknown,yes,no,261762,0,4,telephone,jun,mon,306,55,0,256,0
29,technician,divorced,professional.course,7,unknown,yes,no,23185,0,3,cellular,may,fri,14,18,1,1170,0
49,entrepreneur,married,university.degree,7,no,yes,no,271469,0,1,cellular,apr,mon,334,71,0,1502,0
48,management,divorced,university.degree,8,no,no,no,0,0,2,cellular,aug,fri,117,0,0,831,0
33,management,married,Technological_school,1,no,yes,no,494733,0,0,cellular,jul,wed,155,31,0,484,0
33,admin.,single,university.degree,0,yes,yes,yes,475259,68,1,telephone,apr,wed,117,75,0,1118,0
42,management,married,university.degree,6,no,no,no,0,0,1,telephone,may,fri,206,0,0,653,0
39,admin.,married,university.degree,3,no,no,no,0,0,4,telephone,jun,tue,102,0,0,388,0
55,entrepreneur,married,university.degree,3,unknown,yes,yes,168520,0,2,cellular,nov,tue,157,4,0,133,0
46,management,married,university.degree,6,unknown,yes,no,250970,0,0,telephone,may,thu,311,20,0,501,0
55,blue-collar,divorced,preschool,5,unknown,no,yes,207809,0,0,telephone,jun,tue,115,60,0,953,0
42,entrepreneur,married,university.degree,8,no,yes,no,190966,0,2,cellular,nov,fri,58,32,1,948,0
24,student,single,Technological_school,4,unknown,yes,no,25691,0,3,cellular,may,wed,290,53,1,910,0
49,blue-collar,married,tecnical_school,8,yes,yes,no,56341,87,1,cellular,aug,thu,114,62,0,1636,0
38,admin.,married,unknown,3,no,no,yes,179410,0,0,cellular,jul,wed,311,32,0,713,0
34,admin.,married,university.degree,3,unknown,no,no,0,0,3,cellular,aug,tue,146,0,0,1432,0
46,blue-collar,married,preschool,2,unknown,no,no,0,0,4,cellular,jul,fri,111,0,0,743,0
45,technician,married,professional.course,6,unknown,yes,no,172724,0,0,cellular,aug,thu,360,82,0,631,0
40,admin.,married,tecnical_school,1,no,yes,no,343751,0,2,cellular,jul,thu,106,20,0,429,0
46,admin.,divorced,tecnical_school,1,unknown,no,no,0,0,0,telephone,may,wed,423,0,0,1608,0
31,blue-collar,single,tecnical_school,1,no,no,no,0,0,3,telephone,jun,wed,350,0,0,187,0
57,self-employed,married,tecnical_school,8,unknown,yes,yes,23782,0,5,telephone,may,tue,122,26,0,1889,0
36,admin.,married,university.degree,3,no,no,no,0,0,5,cellular,may,mon,91,0,0,1513,0
50,technician,married,professional.course,8,no,unknown,unknown,0,0,1,cellular,nov,tue,319,0,1,1792,0
32,admin.,single,Technological_school,3,no,yes,yes,404055,0,2,cellular,apr,wed,120,90,0,633,0
38,admin.,single,university.degree,5,no,yes,no,78732,0,2,cellular,jul,mon,82,83,0,926,0
50,admin.,married,university.degree,1,no,unknown,unknown,0,0,5,cellular,may,wed,801,0,1,1459,0
42,blue-collar,married,preschool,5,no,yes,no,267845,0,0,telephone,jun,thu,168,48,0,1779,0
31,technician,married,professional.course,5,no,yes,no,429571,0,0,cellular,aug,wed,409,49,0,775,0
27,unemployed,single,university.degree,5,no,yes,no,400837,0,0,cellular,jul,tue,120,14,0,1379,0
44,self-employed,divorced,Technological_school,1,no,yes,no,405670,0,2,telephone,jun,mon,123,19,0,996,0
26,housemaid,single,Technological_school,2,unknown,yes,yes,266788,0,3,telephone,jul,thu,127,36,0,965,0
30,blue-collar,single,Technological_school,7,unknown,yes,no,360084,0,3,cellular,may,thu,340,18,0,1613,0
39,self-employed,single,Technological_school,1,no,yes,no,373394,0,5,cellular,nov,fri,169,73,0,1658,0
64,retired,married,unknown,0,no,no,no,0,0,1,cellular,aug,fri,252,0,0,1255,1
36,management,married,university.degree,6,no,unknown,unknown,0,0,3,cellular,sep,wed,331,0,4,1798,1
42,blue-collar,married,preschool,3,unknown,yes,no,332992,0,5,telephone,may,wed,191,45,0,326,0
42,services,single,Technological_school,6,no,no,no,0,0,2,cellular,may,thu,122,0,0,1751,0
40,admin.,divorced,Technological_school,1,no,no,no,0,0,4,cellular,jul,wed,1776,0,0,538,0
34,services,married,Technological_school,1,no,no,yes,451303,0,0,cellular,may,wed,362,27,1,1912,0
31,blue-collar,married,primary_school,8,yes,yes,yes,481341,80,1,telephone,may,thu,237,84,0,164,0
49,admin.,single,university.degree,6,no,no,no,0,0,5,telephone,may,fri,201,0,0,987,0
35,unemployed,divorced,tecnical_school,2,no,no,no,0,0,5,cellular,jul,thu,169,0,0,712,0
60,admin.,married,unknown,1,unknown,no,yes,228271,0,1,telephone,may,mon,213,76,0,845,0
38,admin.,divorced,tecnical_school,2,no,no,no,0,0,3,cellular,nov,fri,271,0,0,1754,0
32,management,married,professional.course,4,no,no,no,0,0,2,cellular,may,thu,125,0,1,1146,0
50,self-employed,married,tecnical_school,0,no,yes,yes,483340,0,1,cellular,may,mon,673,45,1,1557,1
41,admin.,married,university.degree,1,yes,yes,no,452749,34,1,cellular,apr,fri,961,63,0,95,1
45,admin.,married,Technological_school,6,no,no,no,0,0,0,telephone,may,wed,215,0,0,1678,0
46,blue-collar,married,primary_school,4,no,no,yes,284717,0,0,telephone,jun,tue,179,22,0,172,0
55,unknown,married,preschool,1,unknown,yes,no,70387,0,2,telephone,may,mon,336,25,0,32,0
33,technician,divorced,professional.course,3,no,yes,no,234494,0,0,telephone,may,fri,44,90,0,618,0
45,blue-collar,married,unknown,7,unknown,no,no,0,0,1,telephone,may,mon,223,0,0,529,0
29,blue-collar,married,Technological_school,0,no,yes,no,434474,0,2,cellular,may,wed,66,18,0,1964,0
42,technician,married,Technological_school,4,unknown,no,no,0,0,5,cellular,jul,wed,252,0,0,212,0
39,housemaid,married,university.degree,5,no,yes,no,458735,0,5,telephone,may,mon,167,51,0,654,0
58,blue-collar,married,unknown,2,unknown,yes,no,184399,0,0,cellular,jul,thu,180,77,0,1173,0
32,management,divorced,university.degree,4,no,yes,no,215882,0,1,cellular,jul,tue,123,25,0,664,0
44,technician,divorced,professional.course,2,unknown,yes,no,168506,0,3,cellular,apr,thu,18,4,1,955,0
49,self-employed,married,professional.course,1,no,no,no,0,0,4,telephone,may,fri,374,0,0,502,0
29,blue-collar,married,primary_school,1,no,yes,no,18736,0,1,cellular,may,thu,108,38,0,132,0
51,management,married,university.degree,3,no,no,no,0,0,2,telephone,jun,wed,16,0,0,1735,0
36,admin.,married,university.degree,2,no,yes,no,180158,0,3,cellular,aug,thu,45,44,0,507,0
23,management,single,university.degree,6,yes,yes,no,346004,38,0,cellular,apr,mon,122,34,0,1783,1
31,management,single,university.degree,0,no,yes,no,197760,0,0,cellular,aug,mon,72,13,0,1628,0
32,technician,married,unknown,8,yes,yes,no,35807,19,3,cellular,jul,fri,107,48,0,1011,0
58,self-employed,divorced,professional.course,6,no,no,no,0,0,4,telephone,jun,thu,197,0,0,127,0
31,services,single,Technological_school,0,no,yes,no,270483,0,2,cellular,jul,wed,21,31,0,1038,0
32,blue-collar,married,professional.course,7,no,yes,no,124918,0,4,cellular,may,fri,160,79,0,944,0
43,unemployed,married,Technological_school,5,no,no,no,0,0,3,cellular,aug,thu,319,0,2,573,0
48,admin.,divorced,professional.course,6,no,yes,no,239672,0,0,telephone,may,fri,427,46,0,745,0
28,admin.,single,Technological_school,4,no,yes,no,109853,0,5,cellular,jul,thu,270,65,0,1410,0
52,services,unknown,professional.course,8,no,yes,no,59753,0,2,telephone,jun,fri,7,54,0,390,0
36,management,married,university.degree,8,no,no,no,0,0,1,telephone,jun,thu,22,0,0,381,0
39,admin.,divorced,Technological_school,3,no,yes,yes,153999,0,4,cellular,apr,thu,433,18,0,708,0
39,blue-collar,married,unknown,3,unknown,yes,no,207149,0,3,telephone,jul,tue,49,27,0,556,0
50,management,married,university.degree,2,no,yes,no,419049,0,3,telephone,oct,thu,258,16,1,785,0
29,admin.,single,university.degree,5,no,yes,no,300744,0,2,cellular,nov,fri,190,72,0,1452,0
49,technician,divorced,professional.course,5,no,yes,no,15558,0,3,cellular,may,tue,130,0,0,1206,0
36,blue-collar,married,primary_school,2,no,no,no,0,0,4,cellular,nov,wed,130,0,0,485,0
29,blue-collar,married,tecnical_school,0,unknown,yes,no,487014,0,1,cellular,may,thu,182,22,0,1797,0
27,entrepreneur,single,university.degree,4,no,no,no,0,0,4,telephone,jun,tue,259,0,0,195,0
31,blue-collar,married,tecnical_school,6,no,yes,no,96310,0,4,cellular,jul,wed,124,24,0,8,0
43,management,single,Technological_school,8,no,no,no,0,0,4,cellular,nov,fri,40,0,0,807,0
32,blue-collar,married,unknown,0,no,no,no,0,0,5,cellular,nov,thu,366,0,0,418,0
45,blue-collar,married,Technological_school,3,unknown,yes,no,116685,0,1,cellular,aug,wed,399,59,0,358,0
56,blue-collar,married,preschool,3,no,no,no,0,0,5,telephone,jun,wed,133,0,0,571,0
38,admin.,married,Technological_school,8,no,unknown,unknown,0,0,2,telephone,may,wed,23,0,0,362,0
35,blue-collar,married,tecnical_school,1,unknown,no,no,0,0,4,telephone,may,thu,170,0,0,315,0
30,admin.,single,university.degree,5,no,yes,no,472628,0,3,cellular,aug,fri,83,38,2,510,0
46,management,married,university.degree,8,unknown,no,no,0,0,4,cellular,apr,fri,79,0,0,1986,0
43,blue-collar,married,tecnical_school,0,no,yes,no,11382,0,0,cellular,may,thu,93,5,2,1500,0
38,technician,married,university.degree,7,unknown,no,no,0,0,3,telephone,may,thu,257,0,0,1143,0
52,retired,married,university.degree,0,no,yes,no,125005,0,1,telephone,nov,thu,188,73,0,1444,0
30,technician,unknown,university.degree,0,no,no,no,0,0,3,cellular,oct,fri,131,0,1,81,0
31,unemployed,married,Technological_school,5,yes,no,no,0,73,5,cellular,nov,tue,111,0,1,1351,0
31,blue-collar,single,preschool,5,unknown,yes,no,408965,0,4,cellular,may,fri,73,50,0,1806,0
24,technician,single,professional.course,2,no,no,no,0,0,5,cellular,may,thu,175,0,1,43,0
34,admin.,single,university.degree,4,yes,yes,no,452440,18,4,cellular,jul,tue,439,0,0,664,0
48,admin.,married,unknown,3,no,no,no,0,0,0,cellular,aug,thu,262,0,0,213,0
30,admin.,married,university.degree,2,no,yes,no,197303,0,3,cellular,aug,thu,136,59,0,915,0
23,blue-collar,single,Technological_school,2,unknown,yes,no,300084,0,3,cellular,jul,mon,150,15,0,1718,0
20,entrepreneur,single,Technological_school,0,no,no,no,0,0,3,telephone,may,thu,598,0,0,1009,0
43,admin.,divorced,Technological_school,6,no,no,no,0,0,5,cellular,jul,mon,96,0,0,1943,0
26,services,single,Technological_school,5,no,no,no,0,0,4,cellular,may,mon,298,0,2,474,0
58,unemployed,single,preschool,8,unknown,no,no,0,0,3,telephone,jun,mon,170,0,0,1373,0
26,admin.,single,university.degree,3,yes,yes,no,472809,15,4,cellular,may,tue,104,45,0,739,0
35,admin.,married,Technological_school,2,unknown,yes,no,179702,0,2,telephone,may,fri,213,68,0,1419,0
35,admin.,married,Technological_school,5,unknown,no,no,0,0,4,cellular,jul,mon,356,0,0,1022,0
59,admin.,divorced,professional.course,4,no,no,no,0,0,1,cellular,aug,tue,206,0,1,670,1
54,blue-collar,married,preschool,0,unknown,no,no,0,0,1,telephone,may,mon,102,0,0,348,0
37,blue-collar,divorced,tecnical_school,2,yes,yes,no,348061,13,2,cellular,jul,thu,346,48,0,1200,0
46,technician,divorced,professional.course,3,no,no,no,0,0,3,telephone,jun,wed,53,0,0,1331,0
52,services,married,Technological_school,4,unknown,no,no,0,0,2,cellular,jul,mon,81,0,0,960,0
52,management,married,university.degree,3,no,yes,no,476617,0,5,cellular,nov,tue,67,74,0,565,0
32,student,single,university.degree,1,no,no,no,0,0,3,cellular,may,fri,209,0,0,718,0
33,services,married,preschool,4,no,no,no,0,0,1,telephone,may,tue,202,0,0,1281,0
33,technician,divorced,Technological_school,4,no,yes,no,276710,0,3,cellular,may,tue,247,73,0,1032,0
42,technician,single,unknown,1,no,no,no,0,0,5,telephone,may,mon,230,0,0,1227,0
38,blue-collar,divorced,unknown,2,no,yes,no,259498,0,1,telephone,may,thu,451,32,0,1567,0
43,blue-collar,married,Technological_school,5,unknown,yes,no,77406,0,4,telephone,may,tue,190,73,0,667,0
49,admin.,divorced,university.degree,4,no,no,no,0,0,0,telephone,may,fri,24,0,0,920,0
30,blue-collar,married,tecnical_school,5,no,unknown,unknown,0,0,2,telephone,may,wed,107,0,0,1233,0
37,technician,married,professional.course,0,no,no,no,0,0,0,cellular,apr,fri,54,0,0,1677,0
47,blue-collar,married,professional.course,8,no,no,no,0,0,1,cellular,jul,mon,86,0,0,1278,0
32,blue-collar,married,preschool,3,no,yes,no,202203,0,2,telephone,nov,thu,111,33,0,1761,0
32,unemployed,married,university.degree,2,no,yes,no,96669,0,5,cellular,jul,fri,47,41,0,1186,0
35,services,divorced,university.degree,8,no,yes,no,378767,0,0,cellular,may,mon,215,87,0,780,0
36,management,divorced,university.degree,1,no,unknown,unknown,0,0,1,cellular,may,fri,423,0,0,1318,0
41,blue-collar,married,tecnical_school,2,no,yes,no,485840,0,4,cellular,may,wed,233,29,0,1803,0
48,blue-collar,married,tecnical_school,5,no,yes,no,286564,0,4,telephone,aug,fri,67,41,0,1422,0
43,technician,married,Technological_school,8,no,no,no,0,0,2,cellular,jul,wed,1389,0,0,1390,0
57,technician,married,university.degree,5,no,no,no,0,0,2,telephone,may,fri,50,0,0,1574,0
28,entrepreneur,married,university.degree,4,unknown,no,no,0,0,1,cellular,apr,mon,774,0,0,102,0
30,services,single,Technological_school,6,unknown,no,no,0,0,1,telephone,jul,thu,454,0,0,705,0
27,student,single,Technological_school,1,no,no,no,0,0,3,cellular,may,mon,64,0,1,882,0
44,blue-collar,married,primary_school,7,unknown,yes,no,333166,0,5,telephone,may,tue,212,80,0,1579,0
43,services,married,tecnical_school,5,no,no,no,0,0,5,telephone,jun,thu,110,0,0,739,0
28,technician,married,tecnical_school,0,no,yes,no,191395,0,1,cellular,may,wed,23,19,1,946,0
34,blue-collar,married,tecnical_school,4,no,no,no,0,0,0,cellular,may,tue,169,0,0,611,0
32,services,married,Technological_school,2,no,yes,no,98395,0,3,telephone,jul,thu,251,20,0,439,0
