user,location,tweet
KLorenaPinqy,Colombia,@ClaudiaLopez Aqui en mi barrio pasan los policías ven a mujeres en la calle y no pasa absolutamente nada!!! No ent… https://t.co/kAiC5EZ9XE
EricKrOcHs,Colombia,Tercer día de #PicoyGenero y nada que aprendemos hacer mercado.
MagikAirMusic,,"@alex_arvaloez Yo no vengo aca a que me den la razon y menos sobre algo que no he dicho

puede demostrar con cifras… https://t.co/m8fF7HtgNy"
LCCaballeroV,,Gracias al #picoygenero pude hacer mercado en la tercera parte del tiempo usual en estos días. @ClaudiaLopez @LuisErnestoGL #FelizMiercoles
sarag12,"Bogotá, DC, Colombia","La medida de #PicoyGenero

4. Ha centrado la atención del debate en los posibles abusos a las personas de sexualida… https://t.co/4deKNYt4Qj"
sarag12,"Bogotá, DC, Colombia","La medida de  #PicoyGenero

3.  No es una decisión articulada con los municipios vecinos a Bogotá. Desconoce las di… https://t.co/3CfnFD4azE"
sarag12,"Bogotá, DC, Colombia","La medida de  #PicoyGenero

2. Asume que la distribución de mujeres y hombres por localidad es la misma. Eso es un… https://t.co/pJlRqmVkrq"
sarag12,"Bogotá, DC, Colombia","La implementación de la medida de #PicoyGenero en Bogotá tiene varios problemas (Abro hilo):

1. Asume que hay la m… https://t.co/fyL5PfzBD7"
Santialar5611,Nocheosfera ,Suscribo la petición enviada por la @redcomunitariat a la @Bogota y su alcaldesa @ClaudiaLopez frente a la medida d… https://t.co/PC6WvEQGHN
cerosetenta,Bogotá-Colombia,"“Creo que me equivoqué” 

Dijo el funcionario de Perú que propuso la medida del #PicoyGenero para explicar por qué… https://t.co/0Nq8b2X4sj"
_Fidedigna,"Medellín, Colombia","Compartimos la petición realizada por la @redcomunitariat y diversas organizaciones a la @Bogota y su alcaldesa, la… https://t.co/fXi9YyBSH4"
RedMasNoticias,Colombia,"📲#Video | #PicoYGénero será implementado en Espinal, #Tolima. 👇

Información con Germán Forero en #RedMásNoticias.… https://t.co/Ql3iN39H79"
PlazaImperial,Bogotá Colombia,#PlazaImperial te recuerda que de acuerdo a la medida de #picoygénero hoy 15 de abril solo podrán movilizarse las p… https://t.co/NPeWeHStT1
Martin_ESR,Colombia,@LuisErnestoGL @ClaudiaLopez el tema del #PicoyGenero con esos datos que exaltan el comportamiento de las mujeres e… https://t.co/41Q3t9Dk96
AlfonsoMarrugo6,"Cartagena, Colombia",@AlcaldiaCTG los activistas LGBTI creemos necesario volver al #picoycédula en #Cartagena porque evita los escenario… https://t.co/l2FOl3gXMf
DmocraciaLight,Colombia,@TembloresOng Hola!! Escribimos sobre porque @ClaudiaLopez debe derogar el #PicoyGenero e hicimos énfasis en el abu… https://t.co/SflbbJrFJe
chelo1215,Bogotá - Colombia,"No tan #FelizMiércoles para Bogotá, se acerca a los 3000 contagiados, el Pdte d la Cámara d Comercio Bogotá Nicolás… https://t.co/ixtpAxmk56"
cerosetenta,Bogotá-Colombia,"Según @LuisErnestoGL se redujo las aglomeraciones en un 60% gracias al #PicoYGénero. 
En Perú, se implementó la med… https://t.co/ywwP7jXJEm"
RedMasNoticias,Colombia,"#Bogotá | Mujeres, las que más cumplen la restricción de #PicoYGénero. 

Así lo señaló el secretario de Gobierno,… https://t.co/m0TWtRIVPF"
H_LIEV,second floor an third too,Con el #PicoyGenero de Doña @ClaudiaLopez se puede ver que está manejando a Bogotá cómo su Theatron personal.
Armand94331,,"@ClaudiaLopez @sergio_fajardo En que ciudad despertó ud, ya que en corabastos y otros sectores su #PicoyGenero no c… https://t.co/6433Uh1I8l"
Col_Informa,Colombia,"#Géneros | Hasta el 26 de abril regirá en Bogotá el llamado #PicoYGénero. Es una medida expedida por la Alcaldía, c… https://t.co/k5JNB4ReWQ"
LaudEstereo,Bogotá - Colombia,"#AlAire |“ “El #PicoYGénero sí ha dado resultado con cifras claras, las aglomeraciones en grandes superficies  se r… https://t.co/DA3KUDpWnq"
teusaquillo13,Calle 39B # 19-30,Con la medida del #PicoyGénero se redujo la afluencia de personas a los supermercados en un 60% estos esfuerzos de… https://t.co/f2kWOzPvp3
FernandoCruzT,Trujillo - Perú,Pico y género https://t.co/UOwXn1Ibxp #picoygenero
RedMasNoticias,Colombia,📺#EmisiónEspecial | Más de 600 hombres fueron multados el martes 14 de abril por incumplir el #PicoyGénero en Bogot… https://t.co/wgmn7lt7b1
Hadinadragonfly,,"""...por qué una Administración que hace un importante énfasis en la promoción de derechos en materia de género y di… https://t.co/MKUBAfdwct"
Unisur_Soacha,soacha ,"Horarios pico y género Soacha
#soacha #picoygénero #salud #COVIDー19 https://t.co/O3MJTN337q"
Claraimontoyame,,"@WRadioColombia @CarlosHolmesTru @mindefensa En Bogotá, sector del CC Diver Plaza, en Engativa... Es una República… https://t.co/DkZBMYFQ62"
calindignado,🅰️mericaDeCali 👺,"📌A este tonto @ElJuliSastoque se le olvidó el #PicoyGenero de la alcalde de su mismo partido 🤦🏻‍♂️
Definitivamente… https://t.co/kkie01IKHm"
JaimeCarvajalD,,"@LuisErnestoGL Tiene razón, es mucho más cómodo, agradable y rápido hacer mercado con esta medida de #PicoyGenero e… https://t.co/x3wdUwNtxN"
LaCarinosaNeiva,"Neiva, Colombia","⚠😷 #PicoYGénero empezó a regir en el municipio de Gigante.

📝➡https://t.co/t4PGsxjiqY

#Covid_19 #OMS #Huila #coronavirus"
Ambiente884,Bogota,"Corabastos aplicará medida de pico y género https://t.co/slUVUgD2lI 

#Ciudades 
#Bogotá 
#PicoYGénero"
RedMasNoticias,Colombia,"📺#EmisiónEspecial | Secretario de Gobierno, @LuisErnestoGL. @GobiernoBTA. 

""Ayer tuvimos 610 comparendos a hombres… https://t.co/nNFjCVJ1V1"
tato_arteaga,De la tierra,"El día impar salí a mercar y fue super rápido, habíamos pocos, las mujeres en casita y veo que el día de las mujere… https://t.co/9UFIUjPSU0"
nico_estupinan,"Bogotá, D.C., Colombia",Continuamos con @TransitoBta @PoliciaBogota  y @COL_EJERCITO haciendo operativos de control en 50 puntos de la ciud… https://t.co/ozIqzBxNRN
reinolopez,COLOMBIA,@LuciaEBaena @NoticiasRCN @JuanLozano_R @RCNcazanoticias @elpatrullero_ @Bogota @GobiernoBTA @PoliciaBogota El… https://t.co/gpD1qz7Gic
MaracuyaX,,@AlcaldiaQuibdo En el desayuno se sabe cómo será el almuerzoE el gobierno nacional y ustedes expidieron el sendos D… https://t.co/jJtRnbGTCC
LuciaEBaena,"Bogotá, D.C., Colombia",@reinolopez @NoticiasRCN @JuanLozano_R @RCNcazanoticias @elpatrullero_ @Bogota @GobiernoBTA @PoliciaBogota El… https://t.co/byJ1LQEQlH
Karolaaro,Bogota,Pues @ClaudiaLopez luego de ver lo que está haciendo con el #PicoyGenero y la forma solapada de actuar del centro p… https://t.co/r1mcz865Ub
melchor_acevedo,Madrid,@ClaudiaLopez Actúe racionalmente y valore si el #PicoYGénero más que una solución creará problemas en una població… https://t.co/FXyNFLSOuC
cerosetenta,Bogotá-Colombia,"El #PicoyGénero, implementado en Bogotá desde el 13 de abril, fue instaurada en Perú y anulada ocho días después po… https://t.co/xnQYQrVGGA"
Puerrres,"Melbourne, Victoria",@ClaudiaLopez Por qué no mejor desistir del #PicoyGenero lo cual no es sólo sexista sino además agresivo con la com… https://t.co/uIY2rPWdK7
naniss04,,La medida de #PicoyGenero de verdad funciona o aún permite que muchas personas estén en la calle realizando sus dil… https://t.co/vMG50qLkUZ
juanfelipearc11,,#PicoYCedula #PicoyGenero al genio que sugirió esta política pública se le ocurrió antes llamar a alcalde de Lima u… https://t.co/MhyIWS96di
alunavil,#Co,Hoy día #PicoyGenero #CuarentenaNacional #Covid_19 #15Abr #Colombia https://t.co/JboicRA1zH
Policia924FM,Colombia,"#AEstaHora le recordamos el #PicoyGénero en la Capital colombiana.
✅ Hombres día impar.
#YoMeQuedoEnCasa… https://t.co/3DCCGNRU5V"
RAPTORCOL,"Bogotá, D.C., Colombia",@rcnradio Wow @ClaudiaLopez te está funcionando #PicoYGénero
Noticias666,Colombia 🇨🇴,@ClaudiaLopez Decisiones populistas como el #PicoYGénero q combinadas con el #PicoYplaca todo el día impide q mucha… https://t.co/I8F7vkDYiX
allejo837,102525 - 753131,"@ElJuliSastoque Debe de ser porque solo debían salir las mujeres, por aquello de #PicoyGenero. Digo, no?"
DmocraciaLight,Colombia,@Putagoras Hola! Leímos a Hun y nos inspiró para hacer nuestro artículo #ladecisioninteligente de @ClaudiaLopez y p… https://t.co/Jb5PoPUz3U
eddy_9227,,"@titaniavillalba @intiasprilla @ClaudiaLopez Primero espere, lo mismo dijeron del #PicoyGenero y funcionó."
DmocraciaLight,Colombia,@esona_org Hola! Te invitamos a leer nuestra columna que defiende  la libertad de ser y exige la eliminación del #PicoyGenero en Bogotá
JuanCamilo50,Bogota ,@ClaudiaLopez  siempre se ha sabido que la @PoliciaBogota  es la entidad mas heteronormada que vulnera y agrede los… https://t.co/YYmHEIvHvA
DmocraciaLight,Colombia,@amaliaandrade_ @ClaudiaLopez Amalia. Fuiste una entre pocas que alzó su voz. Acá flexionamos porque  @ClaudiaLopez… https://t.co/Dsfdp9mADw
DmocraciaLight,Colombia,"@YuliAnaRR1 Te invitamos a leer “La decisión inteligente de @ClaudiaLopez ” Alcaldesa, no olvide consejo dado a Duq… https://t.co/HYqASreHSC"
AldumarForero1,Colombia,La alcaldesa Claudia López no le bastó con contratar publicidad para ella en detrimento de la Salud de los bogotano… https://t.co/CmcSFsG71y
DmocraciaLight,Colombia,"@ClaudiaPP2018 Te invitamos a leer “La decisión inteligente de @ClaudiaLopez ” Alcaldesa, no olvide consejo dado a… https://t.co/gB6zvq6gPB"
andresmarquino,Bogotá D.C.,La medida de #PicoyGénero ha contribuido notablemente a una menor afluencia de personas en los establecimientos de… https://t.co/WUf8rX0ldg
DmocraciaLight,Colombia,"@kaisarobarto @Amberlita2000 Hola. Te invitamos a leer “La decisión inteligente de @ClaudiaLopez” Alcaldesa, no olv… https://t.co/HKdmOoaQrP"
DmocraciaLight,Colombia,"@Amberlita2000 Hola. Te invitamos a leer “La decisión inteligente de la @ClaudiaLopez” Alcaldesa, no olvide consejo… https://t.co/kfYGjxQzgV"
AldenArmando,"Bogotá, Colombia",@LuisErnestoGL el #PicoyGenero no es un programa concurso para saber si las mujeres o los hombres son más juiciosos… https://t.co/VbAUFwSiYB
angelloherre,"Medellín, Colombia","@ClaudiaLopez Claudia, si no cambia ese #PicoyGenero permisivo y poco efectivo para evitar la propagación, no sólo… https://t.co/eGnihnmz2j"
eddy_9227,,@anddresCol @ClaudiaLopez Oiga enserio? Su mamá inhalaba bóxer durante el embarazo? Entre más lo pienso más incoher… https://t.co/HVD3ySHfaM
jemalak,Bogota Colombia ,"Hoy 3pm mujer tacon rojo 7cm,blusita de tiras, escote profundo,Jean ajustado,melena negra,va por la mitad de la cal… https://t.co/jFwdBP8zVI"
OmarSchmied,,"Pregunta del millón: Que carajos hacia @ElJuliSastoque  en la calle hoy?, si por #PicoyGenero el debía quedarse en… https://t.co/uBOKKNwlk4"
OmarSchmied,,"@ElJuliSastoque A ver idiota, hoy era el día de salir mujeres a la calle por #PicoyGenero  es obvio que iba a haber… https://t.co/XyZKbLR1zi"
Caribeafirmativ,"Barranquilla, Atlántico",La @AlcaldiaCTG  mediante decreto 0538 ha creado el #PicoyGenero que pone en riesgo la vida de las personas trans e… https://t.co/HHz6WzMdfn
andresmlopezc,"Bogotá, D.C., Colombia",@claudiacaste @Bogota Asi es Senadora. Claudia López debe eliminar cuanto antes el #PicoyGenero. La salud nacional… https://t.co/fNMCnjYVff
claudiacaste,Bogota,#PicoyGenero es deficiente porque: restringe la movilidad únicamente en un 50% y no en un 80% como sí lo hace el… https://t.co/Ykhxcz4by0
americanotuvozm,,"@ClaudiaLopez #PicoyGenero
Par: @Amparo_Grisales
         Impar: Su doble.
🤣🤣🤣🤣 https://t.co/ScUCdHBKvn"
pandoramorada,,"Amigas me preguntan si es verdad la medida de #PicoyGenero en Bogotá, les parece impensable, arbitraria y ridícula."
Andresc1927,Colombia,"Recuerden el #PicoyGenero en Bogotá aplica asi:

Día par: Mujeres
Día Impar: Hombres.

*No se vayan a hacer los mrk… https://t.co/S750VlOEhm"
ClaudiaLopez,"Bogotá, DC, Colombia","Hoy, segundo día de #PicoyGenero y primero para salida solo para mujeres, volvemos a tener reporte positivo!

Bajó… https://t.co/52HVgSTkdt"
LasFerER,El putiadero,Firma y comparte #PicoyGenero https://t.co/SOPMW25HDx
andresmarquino,Bogotá D.C.,6️⃣1️⃣0️⃣ es el número de hombres a quienes se les impuso comparendo en el segundo día de #PicoyGénero por desacata… https://t.co/SBFZgtadBN
FernandoFds83,,La puta madre para los hombres que violen el #PicoyGenero
dmlopeza09,Washington DC,"Y una mas sobre la experiencia d #PicoyGenero en Peru 
""Así pues, no estamos tan cerca de la igualdad como creemos… https://t.co/mEcuab4Z5t"
FenalcoBogota,Cr. 4 Nº 19-85,Disminuyó en promedio 60% la afluencia de personas en #supermercados durante primeros días de #PicoyGenero en… https://t.co/pzgHWZCczT
andresmarquino,Bogotá D.C.,"En el segundo día de ""#PicoyGénero"" se reportó la disminución en las filas de los establecimientos de comercio segú… https://t.co/S5phlWE2Pa"
SupraHumanoBand,"Bogotá, D.C., Colombia","La experiencia de salir a la calle hoy con el #PicoyGenero es que había demasiadas mujeres: comercios, bancos, call… https://t.co/pwEDVrY2Pb"
galviscorreas99,,"En conjunto este tipo de medidas solo ""alborota el avispero"", en una sociedad que aún es bastante ignorante e intol… https://t.co/KlXnDK3RW5"
RedMasNoticias,Colombia,"#Bogotá | Algunos hombres no acataron la restricción de #PicoyGénero en la capital del país.  

El secretario de Go… https://t.co/anzXyaQrbL"
galviscorreas99,,"Ya que hablamos de NB, me pregunto, según el texto del decreto, que pasa con los no binarixs?, no les aplica?,no pueden salir?
#PicoyGenero"
galviscorreas99,,"El decreto habla de ""sexo"" no de género, me pregunto porque esta denominación incorrecta que desconoce las entidade… https://t.co/3Kf2qfNc1M"
galviscorreas99,,Me pregunto como la alcaldesa López va a tratar con la posible aún incipiente transfobia presente en la sociedad y… https://t.co/NFU6mv3slJ
gi_consultores1,"Quibdó, Colombia",@AlcaldiaQuibdo Como así que #PicoyGenero  por favor aclarar
Adandrea06,Colombia ,Nosotras si sabes que arroz y aceite comprar ! 💪🏻💖 #PicoyGenero https://t.co/WyAtSEcNEO
spencerbejarano,"medellin, colombia",@AlcaldiaQuibdo #PicoyGenero? ??? Este decreto no habla de eso.
ayduchis,Comunidad de la Monotonía,@ElJuliSastoque Alguien que le explique a este atembado que se ven más mujeres que hombres por el #PicoYGénero y ho… https://t.co/GF7ouUqu1n
jdmarinou,Bogota D.C.,"El #PicoyGenero ha ""desnudado"" varias realidades:

1. Bogotá es machista.
2. El concejal más jóven no sabe escribir… https://t.co/LJgQnXWDUR"
EzerGODOY,colombia,"@ClaudiaLopez respetada alcaldesa, hoy tengo una duda y es sobre el #bonoescolar, el cual debo reclamar el día 16 d… https://t.co/gwAZxluVRp"
rzneas,! A la derecha de la derecha !,"#TrabajoSiHay Bogotá.

Se necesita “Marimacho, Machorro o Travesti
Ayude a descargar camiones en Corabastos durante… https://t.co/T3RcMpH1jf"
ElReyPepynito,,@ElJuliSastoque la única manera de que usted hoy haya visto muchas más mujeres que hombres afuera es porque usted s… https://t.co/TPJsmLQsFB
Carolin51050975,,@ElJuliSastoque Hoy la mayoría d mujeres q encontré eran ancianas y en filas q antes d #PicoYGenero no se presentab… https://t.co/O0ErxNsW7P
Carolin51050975,,@ElJuliSastoque Ustedes como representantes locales deben medir impactos de las medidas! Por ética y responsabilida… https://t.co/u0XoK8Kwi0
Carolin51050975,,@ElJuliSastoque https://t.co/Z6QoPGKmJX ustedes amigos de la alcaldesa hubieran hecho la tarea de investigar y prev… https://t.co/jLEWA9Lm55
LuisErnestoGL,"Bogotá, Colombia",Cerramos muy bien nuestro segundo día de #PicoYGenero. Fenalco Bogota reporta una disminución notable en las filas… https://t.co/vg7XSjmqyJ
JIMOTE,Bogotá,"@ElJuliSastoque Se ven más mujeres q hombres mercando, xq es evidente que son mejores gerentes del hogar q nosotros… https://t.co/hcnk3YJjrO"
Carolin51050975,,Hoy la mayoría d mujeres q encontré eran ancianas y en filas q antes d #PicoYGenero no se presentaban.Le dejo otro… https://t.co/IMLu88usGK
Carolin51050975,,Ustedes como representantes locales deben medir impactos de las medidas! Por ética y responsabilidad social!… https://t.co/9eZre3ay14
carito3025,Colombia,"@mapatilla Dejo esto por aquí.
Una anécdota sobre lo que trae consigo la medida del #PicoyGenero. https://t.co/McEqtCAKyi"
Carolin51050975,,https://t.co/Z6QoPGKmJX ustedes amigos de la alcaldesa hubieran hecho la tarea de investigar y preveer el impacto s… https://t.co/Br1gRIk1wN
JIMOTE,Bogotá,¿Será porque hoy es día par y solo pueden salir las mujeres a la calle? 🤔😂🤦🏾‍♂️ #PicoyGénero https://t.co/aqzOPzWCVB
ArcoirisRlca,,"🗣Desde la ciudad de Bogotá, compartimos el PROTOCOLO de prevención y respuesta en caso de violencia o abuso de auto… https://t.co/haAQYx4PoT"
Marovaan,Bogotá ,Hoy en el #PicoyGenero las mujeres dijeron presente en #Bogotá https://t.co/OcWcdikC22
jazminsan7,,"#PicoyGenero todos son sólo entes estúpidos, no saben quien son no tienen cordura ni sensatez, sólo chusma creyendo… https://t.co/V4xsZ0cDdw"
GaboBenavidesB,Bogotá - Colombia,"A las denuncias de la comunidad trans por la violencia de @PoliciaBogota contra ellas, hoy se suma otra queja al… https://t.co/SSak0g0jUb"
CebollaDiego,,Día par #PicoyGénero https://t.co/E8dGfmSH63
JuanStillAlive,M A R S,"#PicoYCedula + #PicoyGenero.

Porqué más bien no nos fumigan con #Glifosato. https://t.co/JPvQHABlVn"
alvarogalvisbec,"Floridablanca, Colombia","Bancos deben cobrar obligaciones con fecha de #PicoyPlaca #PicoyGenero 
de #Clientes
@SFCsupervisor @Davivienda… https://t.co/2XKTaLUeZY"
LaPosta_Ecu,Ecuador,"En varios países se han creado restricciones de movilidad durante la emergencia sanitaria, por ejemplo en Colombia… https://t.co/ZikCfOJIY8"
vale_olarte,"Bogotá, D.C., Colombia",@ClaudiaLopez La verdad eso del #PicoyGenero es una bobada. Es ilógico que solo hombres un día y solo mujeres al ot… https://t.co/WnIclskp6v
PosLaVerda,Colombia,🔴 PODCAST EN DIRECTO: #PosLaVerdaEnCuarentena 14 Abril de 2020 en @Spreaker #corferias #otrareformatributariaes… https://t.co/1lFWKnEMWs
andresFranco83,"bogota, colombia","Mi deporte favorito ahora es gritarle al matriarcado por la ventana ""hoy es dia de patriarcado pa la casaa "" y vice… https://t.co/FAQ9rcPIiF"
DoorTheme,"Medellín, Colombia","#UribistaSigueUribista . A propósito del #PicoyGenero de  @ClaudiaLopez ,el #PicoYGeneroEs un abono para el increme… https://t.co/5xfHnk8ZX6"
Saris0,Madrid,"Algunas ideas en modo de pregunta:

1 ¿No puede ponerse un sistema de salidas por franjas horarias según el número… https://t.co/GhY6JFP8M1"
A_alarconlaura,"Colombia/ Bogotá, D.C.",Mood: sol y frío + dos pacas enormes reutilizables para hacer mercado. #PicoyGenero https://t.co/LbIIe7XKSi
GregorioACHURY,"Cauca, Colombia",Algunos gobiernos convirtieron el #Covid_19 en un show. #COVID2019 #1x1 #PicoYCedula #PicoYGenero… https://t.co/Ny3wcFap5d
kevdres5,Bogota Colombia.,"DRAGON GIRL / New Char!

Link: https://t.co/qAS1PKYeHN

Actualizo 3 veces por semana. Por favor... ¡suscríbete!:… https://t.co/QRY87eWOkZ"
UssaVeronica,,@Bogota @ClaudiaLopez  #PicoYGenero no debería permitir grupos de “comadres” o “campadres”. Debe seguir obligatorio… https://t.co/1gAjJKOhXI
RedMasNoticias,Colombia,"#Bogotá | A partir de este miércoles 15 de abril entrará en vigencia el #PicoYGénero en @CorabastosSA, después de l… https://t.co/BdhJ1YAb3w"
personeriabta,,"📡 Informativo de la Personería de Bogotá

Ante la medida de #PicoyGénero decretada por la Alcaldía Mayor, la Person… https://t.co/NkAwod6AaG"
JairoOcampo77,,El burro más joven de la galaxia dice que ve más mujeres que hombres hoy día par donde solo pueden salir mujeres en… https://t.co/PvyY8NgDdm
dianaprieto69,Colombia - Guatemala,"@ZuluagaCamila Aja, si claro, como no... 

Mientra tanto en #Bogotá el #Covid19 va por 1,205 y contando.… https://t.co/kviqB5l0vM"
AntiZurdosCO,,"Se solicitan mujeres feministas, 100% poderosas, para cargar bultos en Corabastos. Los hombres hoy descansan por el… https://t.co/94nJj2CtpP"
CaroCorcione,"Bogota, Colombia",Cada vez que leo ese #PicoyGenero sin tilde... me confundo...porque por acá se ha generado juiciosamente. https://t.co/n9w3kpk9AK
MaQuiMD1,"Bogotá, D.C., Colombia",Como se regula esto? Los hombres pueden trabajar ambos días?y Las mujeres se aguntan la fila de ellos? A ver?… https://t.co/1PraIDVM2G
FUNDAMEJORHIV,SUBA BOGOTÁ D. C. ,En la localidad de Suba NO se ve el descenso de AGLOMERACIONES con Decreto 106 #PicoyGenero d @Bogota @ClaudiaLopez… https://t.co/sjTyVVn7u7
malbarracin,Bogotá,Sobre #PicoyGénero @Mariquismo https://t.co/lCt1DlHGak
Citytv,Bogotá,¿Cómo va el segundo día de #PicoYGénero en Bogotá?  ¿Están cumpliendo o no la medida los bogotanos? Hoy es día par;… https://t.co/FTPUW8Ybdj
Aleja373,,"Con todas las críticas que comparto sobre el #Picoygénero, especialmente por la comunidad LGTBI,estoy segura que en… https://t.co/Q7aEPSHjat"
CARLOSFMEJIA,Caldas-Bogotá,"Qué desconexión tan grande, cómo es que no preven estas cosas? Llegaron mujeres a Corabastos a realizar sus compras… https://t.co/gfDFoJxq4b"
Patricia_RP10,"Bogotá DC, Colombia",Mientras tanto los hombres en #PicoyGenero por NO respetar el #QuedateEnCasa https://t.co/FBCSyO0PFb
NonitaJaimes,,Estoy haciendo la fila para reclamar unos medicamentos para mi papá y solo acá hay 8 hombres. Parece que algo no qu… https://t.co/tUvWNaoXk9
RedMasNoticias,Colombia,"🔵#Atención | @CorabastosSA levanta la medida de #PicoYCédula. 

A partir de este miércoles 15 de abril aplicará el… https://t.co/nhE3QVuW7P"
fabrixioriko,Colombia Cartago Valle,"Levantaron el pico y género por que las mujeres no son capaz de levantar bultos de papas.
#PicoyGenero #Corabastos"
Alexitasierra,"Girardot-Bogotá,Colombia",Niñas hoy salgan bien Bellas #PicoyGenero 💙💖
JuanJos09439572,,Así como en Bgta tenemos #PicoyGenero tendremos también #picoyplacaambiental
Aleja373,,"Le cambio el pico y genero por el pico y chao, si te vi no me acuerdo. 
#Picoygénero"
JABP008,En otra dimensión. ,"Esas personas que se ufanan de ser académicas, estudiosas, de tener PhD o ser candidatas a serlo y que defienden la… https://t.co/4ihRNs218O"
vamarogu,Colombia,"Las calles se ven lindas con sólo mujeres! (Ahí disculparan los hombres.)

#QuedateEnCasa 
#PicoyGenero"
comunicadorrest,"Bogotá, D.C., Colombia","Hoy hay #PicoyGenero para las mujeres

-yo...

🤣🤣🤣 https://t.co/JgJW8TeJ6g"
RonaCor,"Bogotá, D.C., Colombia",@ClaudiaLopez 🤔 y si todos lo días de 11 am a 2 pm fuera el pico y género libre para que todes 🌈 lgbtttiq+ salgan a… https://t.co/XVSa5o3VYy
arturo1607,Camelot,Más congestión en el día de las mujeres #PicoYGénero https://t.co/aPydWpKQPr
elANTIMILI,Medellin - Colombia,"Vea, @ClaudiaLopez no sea INSENSATA, deje de alardear de ese NEFASTO #PicoyGenero, aplique el #PicoYCedula"
RCNcartagena,"Cartagena, Colombia",Organizaciones defensoras de los derechos de las comunidades LGTBI advierten de los riesgos que en materia de vulne… https://t.co/iDGRzKy9iF
