RECORD_CREATION_DATE,MONTO_DEL_PRESTAMO,RANGO_DEL_CREDITO,DEUDA_EXISTENTE,NOTAS_DEL_AGENTE,UBICACION_DE_LA_OFICINA,PRESTAMO_INCUMPLIDO
05May2014:13:27:36.000000,5900,740-759,"$10,001-$20,000",,NEVADA,VERDADERO
05May2014:13:52:19.000000,9100,740-759,,"El cliente no tiene deuda...Ingreso anual neto: $15,000",WASHINGTON STATE,FALSO
05May2014:14:12:48.000000,2500,740-759,,"Ingreso anual neto: $23,500",SOUTHERN CALIFORNIA,FALSO
05May2014:14:19:42.000000,2500,700-719,"$100,000+","Ingreso mensual neto 16,670",ARIZONA,FALSO
05May2014:14:40:17.000000,2500,700-719,"$10,001-$20,000","Ingreso mensual neto 1,630",SOUTHERN CALIFORNIA,VERDADERO
05May2014:15:10:56.000000,4700,700-719,,"Ingreso anual neto: $17,600",SOUTHERN CALIFORNIA,FALSO
05May2014:15:21:46.000000,16200,740-759,"$30,001-$40,000","Ingreso anual neto: $44,700",SOUTHERN CALIFORNIA,FALSO
05May2014:15:32:51.000000,2500,720-739,"$100,000+",,ARIZONA,VERDADERO
05May2014:15:52:36.000000,2500,740-759,"$10,001-$20,000",,NORTHERN CALIFORNIA,VERDADERO
05May2014:16:07:37.000000,2500,780-799,"$80,001-$90,000",,ARIZONA,FALSO
05May2014:16:40:48.000000,18300,700-719,"$10,001-$20,000",,NEVADA,FALSO
05May2014:16:53:31.000000,2800,720-739,,"Ingreso mensual neto 4,140",ARIZONA,FALSO
05May2014:17:08:28.000000,18700,700-719,"$70,001-$80,000",,SOUTHERN CALIFORNIA,FALSO
05May2014:17:38:36.000000,2500,780-799,"$100,000+","Ingreso anual neto: $65,200",WASHINGTON STATE,VERDADERO
05May2014:18:09:50.000000,5000,700-719,"$1-$10,000",,NEVADA,FALSO
05May2014:18:26:03.000000,17100,720-739,,"Ingreso anual neto: $54,100",SOUTHERN CALIFORNIA,FALSO
05May2014:18:52:13.000000,2500,780-799,"$20,001-$30,000",,NORTHERN CALIFORNIA,VERDADERO
06May2014:09:11:09.000000,19200,700-719,,"El cliente no tiene deuda...Ingreso mensual neto 8,950",OREGON,FALSO
06May2014:09:29:30.000000,4300,740-759,"$80,001-$90,000","Ingreso anual neto: $94,800...Pagos mensuales de deuda verificados: $1,430",NORTHERN CALIFORNIA,FALSO
06May2014:09:51:26.000000,2500,720-739,"$70,001-$80,000",,SOUTHERN CALIFORNIA,VERDADERO
06May2014:10:22:13.000000,2500,780-799,"$1-$10,000","Ingreso anual neto: $30,500",NORTHERN CALIFORNIA,FALSO
06May2014:10:55:16.000000,2500,780-799,"$30,001-$40,000","Ingreso mensual neto 2,060",SOUTHERN CALIFORNIA,FALSO
06May2014:11:13:49.000000,2500,740-759,"$20,001-$30,000",,SOUTHERN CALIFORNIA,FALSO
06May2014:11:21:12.000000,7400,740-759,"$30,001-$40,000",,NORTHERN CALIFORNIA,FALSO
06May2014:11:53:48.000000,2700,740-759,,,NEVADA,FALSO
06May2014:12:18:36.000000,4900,740-759,"$100,000+","Pagos mensuales de deuda verificados: $6,030...Ingreso anual neto: $200,000",NORTHERN CALIFORNIA,VERDADERO
06May2014:12:45:55.000000,6200,720-739,,El cliente no tiene deuda,NORTHERN CALIFORNIA,FALSO
06May2014:13:14:25.000000,2500,700-719,"$10,001-$20,000","Ingreso anual neto: $143,600",OREGON,FALSO
06May2014:13:32:11.000000,7900,800+,"$50,001-$60,000",,ARIZONA,FALSO
06May2014:13:40:08.000000,2500,700-719,,"Ingreso anual neto: $21,700...El cliente no tiene deuda",NORTHERN CALIFORNIA,FALSO
06May2014:14:09:08.000000,5400,740-759,"$60,001-$70,000",,ARIZONA,FALSO
06May2014:14:21:05.000000,4400,740-759,"$1-$10,000","Ingreso mensual neto 2,030",OREGON,FALSO
06May2014:14:46:08.000000,14800,740-759,,"Ingreso anual neto: $15,700",SOUTHERN CALIFORNIA,FALSO
06May2014:15:02:24.000000,2500,760-779,"$1-$10,000",Pagos mensuales de deuda verificados: $100,NORTHERN CALIFORNIA,VERDADERO
06May2014:15:20:09.000000,5600,800+,"$20,001-$30,000","Ingreso anual neto: $16,000",SOUTHERN CALIFORNIA,FALSO
06May2014:15:40:15.000000,2500,700-719,"$10,001-$20,000",,SOUTHERN CALIFORNIA,FALSO
06May2014:16:10:16.000000,2500,740-759,,,SOUTHERN CALIFORNIA,FALSO
06May2014:16:43:51.000000,6700,700-719,,"Ingreso anual neto: $15,000...El cliente no tiene deuda",OREGON,FALSO
06May2014:16:51:16.000000,2500,800+,"$100,000+","Ingreso anual neto: $200,000",ARIZONA,VERDADERO
06May2014:17:09:20.000000,7400,740-759,"$10,001-$20,000",,SOUTHERN CALIFORNIA,VERDADERO
06May2014:17:30:26.000000,2500,700-719,"$100,000+","Pagos mensuales de deuda verificados: $2,190...Ingreso mensual neto 6,080",OREGON,VERDADERO
06May2014:17:48:34.000000,2500,740-759,"$60,001-$70,000","Pagos mensuales de deuda verificados: $1,140",NEVADA,FALSO
06May2014:18:00:05.000000,12700,740-759,"$10,001-$20,000",,OREGON,VERDADERO
06May2014:18:11:24.000000,9800,720-739,"$10,001-$20,000","Ingreso mensual neto 1,250",NEVADA,FALSO
06May2014:18:36:41.000000,5400,700-719,,"Ingreso anual neto: $190,100",SOUTHERN CALIFORNIA,FALSO
07May2014:09:09:52.000000,2500,720-739,"$100,000+","Ingreso mensual neto 16,670...Pagos mensuales de deuda verificados: $1,940",ARIZONA,VERDADERO
07May2014:09:41:29.000000,5700,740-759,"$1-$10,000",,ARIZONA,FALSO
07May2014:10:06:55.000000,3700,700-719,,El cliente no tiene deuda,OREGON,VERDADERO
07May2014:10:32:34.000000,2500,720-739,"$20,001-$30,000","Ingreso anual neto: $15,000...Pagos mensuales de deuda verificados: $430",OREGON,FALSO
07May2014:10:58:35.000000,4800,740-759,"$30,001-$40,000","Ingreso anual neto: $59,600",SOUTHERN CALIFORNIA,FALSO
07May2014:11:12:23.000000,3400,700-719,"$1-$10,000","Ingreso anual neto: $20,000",OREGON,FALSO
07May2014:11:39:03.000000,7000,760-779,"$20,001-$30,000",Pagos mensuales de deuda verificados: $360,WASHINGTON STATE,FALSO
07May2014:12:10:38.000000,2500,760-779,"$100,000+","Pagos mensuales de deuda verificados: $2,590",NORTHERN CALIFORNIA,VERDADERO
07May2014:12:32:53.000000,3300,720-739,"$80,001-$90,000","Ingreso anual neto: $86,900",SOUTHERN CALIFORNIA,FALSO
07May2014:12:45:11.000000,2500,720-739,,,ARIZONA,FALSO
07May2014:13:16:25.000000,2500,700-719,"$1-$10,000","Ingreso anual neto: $15,000",NORTHERN CALIFORNIA,VERDADERO
07May2014:13:34:42.000000,2500,740-759,"$10,001-$20,000",,ARIZONA,FALSO
07May2014:13:56:06.000000,11400,740-759,,"Ingreso mensual neto 10,230",NEVADA,VERDADERO
07May2014:14:03:50.000000,2500,800+,"$10,001-$20,000","Ingreso mensual neto 1,630...Pagos mensuales de deuda verificados: $300",ARIZONA,VERDADERO
07May2014:14:32:53.000000,9100,740-759,,,OREGON,VERDADERO
07May2014:15:02:08.000000,2500,720-739,"$70,001-$80,000","Pagos mensuales de deuda verificados: $1,210",SOUTHERN CALIFORNIA,FALSO
07May2014:15:12:43.000000,17300,720-739,"$50,001-$60,000",Pagos mensuales de deuda verificados: $890,WASHINGTON STATE,FALSO
07May2014:15:22:35.000000,6900,700-719,,"Ingreso mensual neto 5,080",NORTHERN CALIFORNIA,VERDADERO
07May2014:15:49:27.000000,5200,740-759,"$1-$10,000",Pagos mensuales de deuda verificados: $120,ARIZONA,VERDADERO
07May2014:15:59:56.000000,2500,700-719,"$20,001-$30,000",Pagos mensuales de deuda verificados: $410,NORTHERN CALIFORNIA,FALSO
07May2014:16:07:02.000000,2500,760-779,"$100,000+",,OREGON,VERDADERO
07May2014:16:38:37.000000,4700,720-739,"$100,000+","Ingreso anual neto: $200,000",WASHINGTON STATE,VERDADERO
07May2014:16:46:27.000000,4800,720-739,,,SOUTHERN CALIFORNIA,FALSO
07May2014:17:17:51.000000,9600,700-719,"$100,000+","Ingreso anual neto: $126,500",OREGON,VERDADERO
07May2014:17:42:18.000000,2500,740-759,"$1-$10,000",,NORTHERN CALIFORNIA,FALSO
07May2014:17:51:20.000000,8000,700-719,"$100,000+","Ingreso anual neto: $164,300",SOUTHERN CALIFORNIA,FALSO
07May2014:17:58:35.000000,4500,700-719,"$80,001-$90,000",,SOUTHERN CALIFORNIA,FALSO
07May2014:18:08:26.000000,2500,720-739,"$1-$10,000",,ARIZONA,VERDADERO
07May2014:18:22:18.000000,4500,760-779,,,OREGON,VERDADERO
07May2014:18:43:41.000000,3200,800+,,,SOUTHERN CALIFORNIA,FALSO
08May2014:09:05:21.000000,7500,760-779,"$40,001-$50,000","Ingreso mensual neto 2,980",NORTHERN CALIFORNIA,FALSO
08May2014:09:22:54.000000,20700,760-779,"$60,001-$70,000","Ingreso mensual neto 3,290",SOUTHERN CALIFORNIA,FALSO
08May2014:09:32:01.000000,6900,700-719,"$20,001-$30,000","Ingreso anual neto: $26,800",SOUTHERN CALIFORNIA,FALSO
08May2014:10:03:01.000000,2500,800+,"$50,001-$60,000","Ingreso anual neto: $60,200",ARIZONA,FALSO
08May2014:10:13:16.000000,6400,720-739,,"El cliente no tiene deuda...Ingreso anual neto: $19,900",ARIZONA,FALSO
08May2014:10:38:39.000000,3600,700-719,"$10,001-$20,000","Ingreso mensual neto 2,180",ARIZONA,FALSO
08May2014:11:03:17.000000,2500,780-799,"$30,001-$40,000",,ARIZONA,FALSO
08May2014:11:34:28.000000,5000,760-779,"$100,000+",,WASHINGTON STATE,FALSO
08May2014:11:45:12.000000,3400,700-719,"$10,001-$20,000","Ingreso mensual neto 2,420",OREGON,FALSO
08May2014:12:11:38.000000,10600,740-759,"$80,001-$90,000","Ingreso anual neto: $43,900",SOUTHERN CALIFORNIA,FALSO
08May2014:12:44:50.000000,10600,700-719,"$50,001-$60,000",,OREGON,FALSO
08May2014:12:56:06.000000,12800,780-799,"$30,001-$40,000","Pagos mensuales de deuda verificados: $620...Ingreso mensual neto 3,700",WASHINGTON STATE,FALSO
08May2014:13:25:02.000000,5300,720-739,,"El cliente no tiene deuda...Ingreso mensual neto 16,670",OREGON,VERDADERO
08May2014:13:31:33.000000,2600,760-779,"$20,001-$30,000","Ingreso anual neto: $30,900...Pagos mensuales de deuda verificados: $380",NORTHERN CALIFORNIA,FALSO
08May2014:13:53:10.000000,6200,800+,"$100,000+","Pagos mensuales de deuda verificados: $1,950",NEVADA,FALSO
08May2014:13:59:46.000000,31300,720-739,,"Ingreso mensual neto 8,400...El cliente no tiene deuda",ARIZONA,FALSO
08May2014:14:33:52.000000,9700,760-779,,"Ingreso anual neto: $67,800",SOUTHERN CALIFORNIA,FALSO
08May2014:14:49:49.000000,2500,700-719,"$10,001-$20,000",,SOUTHERN CALIFORNIA,FALSO
08May2014:15:05:15.000000,2500,780-799,"$1-$10,000","Ingreso anual neto: $18,200",ARIZONA,VERDADERO
08May2014:15:16:33.000000,14100,800+,"$40,001-$50,000",,SOUTHERN CALIFORNIA,FALSO
08May2014:15:41:29.000000,3800,760-779,,,NORTHERN CALIFORNIA,FALSO
08May2014:16:00:26.000000,2500,760-779,"$70,001-$80,000","Pagos mensuales de deuda verificados: $1,280...Ingreso mensual neto 6,890",ARIZONA,VERDADERO
08May2014:16:24:46.000000,4500,740-759,"$10,001-$20,000",,WASHINGTON STATE,FALSO
08May2014:16:32:02.000000,2500,700-719,,,NORTHERN CALIFORNIA,FALSO
08May2014:17:06:03.000000,2500,700-719,"$40,001-$50,000",,SOUTHERN CALIFORNIA,VERDADERO
08May2014:17:33:40.000000,4100,780-799,"$30,001-$40,000",,OREGON,FALSO
08May2014:17:41:06.000000,2500,700-719,"$40,001-$50,000",,NORTHERN CALIFORNIA,VERDADERO
08May2014:17:47:48.000000,5200,740-759,"$100,000+","Pagos mensuales de deuda verificados: $2,440",NEVADA,VERDADERO
08May2014:17:57:59.000000,2500,700-719,,,NORTHERN CALIFORNIA,VERDADERO
08May2014:18:27:29.000000,7900,760-779,,,WASHINGTON STATE,FALSO
08May2014:18:42:50.000000,2500,700-719,"$20,001-$30,000","Pagos mensuales de deuda verificados: $470...Ingreso anual neto: $18,200",SOUTHERN CALIFORNIA,FALSO
09May2014:09:10:43.000000,2600,740-759,,"Ingreso mensual neto 1,760...El cliente no tiene deuda",WASHINGTON STATE,VERDADERO
09May2014:09:44:42.000000,6400,740-759,"$40,001-$50,000","Ingreso anual neto: $36,100...Pagos mensuales de deuda verificados: $850",OREGON,FALSO
09May2014:09:56:18.000000,5400,720-739,"$1-$10,000",,NEVADA,VERDADERO
09May2014:10:21:10.000000,13800,700-719,,El cliente no tiene deuda,ARIZONA,FALSO
09May2014:10:27:33.000000,3800,740-759,"$100,000+","Pagos mensuales de deuda verificados: $3,820",ARIZONA,FALSO
09May2014:10:37:52.000000,2500,760-779,,,SOUTHERN CALIFORNIA,VERDADERO
09May2014:10:59:57.000000,2900,740-759,"$50,001-$60,000",Pagos mensuales de deuda verificados: $880,SOUTHERN CALIFORNIA,VERDADERO
09May2014:11:28:43.000000,12300,700-719,"$1-$10,000",,OREGON,VERDADERO
09May2014:11:41:15.000000,17000,760-779,,"Ingreso mensual neto 2,500",NEVADA,FALSO
09May2014:11:50:40.000000,12300,700-719,"$100,000+",,NEVADA,VERDADERO
09May2014:12:07:15.000000,2500,740-759,"$90,001-$100,000",,SOUTHERN CALIFORNIA,FALSO
09May2014:12:15:04.000000,9300,700-719,"$10,001-$20,000","Ingreso anual neto: $59,100",OREGON,FALSO
09May2014:12:30:08.000000,2500,780-799,"$10,001-$20,000",,WASHINGTON STATE,FALSO
09May2014:13:03:38.000000,2500,700-719,"$30,001-$40,000","Ingreso anual neto: $75,500",OREGON,FALSO
09May2014:13:13:30.000000,6600,740-759,"$40,001-$50,000",,ARIZONA,FALSO
09May2014:13:44:24.000000,33600,780-799,"$1-$10,000","Ingreso anual neto: $38,800",ARIZONA,FALSO
09May2014:14:02:26.000000,2500,700-719,"$10,001-$20,000",,OREGON,FALSO
09May2014:14:13:23.000000,2800,700-719,"$50,001-$60,000","Ingreso anual neto: $27,700",NORTHERN CALIFORNIA,FALSO
09May2014:14:45:28.000000,3900,720-739,"$20,001-$30,000",,NORTHERN CALIFORNIA,FALSO
09May2014:15:08:30.000000,5300,740-759,"$100,000+",,ARIZONA,VERDADERO
09May2014:15:28:56.000000,2500,740-759,"$100,000+","Ingreso anual neto: $64,200",ARIZONA,FALSO
09May2014:15:43:37.000000,2500,760-779,"$20,001-$30,000","Ingreso anual neto: $15,000...Pagos mensuales de deuda verificados: $370",NORTHERN CALIFORNIA,FALSO
09May2014:15:50:55.000000,6700,700-719,"$10,001-$20,000",Pagos mensuales de deuda verificados: $290,ARIZONA,FALSO
09May2014:16:21:07.000000,2500,780-799,"$20,001-$30,000",,ARIZONA,VERDADERO
09May2014:16:49:05.000000,5000,780-799,"$70,001-$80,000","Pagos mensuales de deuda verificados: $1,340",NEVADA,FALSO
09May2014:17:02:33.000000,3500,780-799,"$1-$10,000",Pagos mensuales de deuda verificados: $30,ARIZONA,FALSO
09May2014:17:25:39.000000,23100,780-799,"$50,001-$60,000",,ARIZONA,VERDADERO
09May2014:17:41:05.000000,4900,740-759,,El cliente no tiene deuda,NORTHERN CALIFORNIA,VERDADERO
09May2014:17:48:35.000000,5000,760-779,"$30,001-$40,000",,WASHINGTON STATE,VERDADERO
09May2014:18:16:32.000000,2500,740-759,"$30,001-$40,000","Ingreso mensual neto 2,250",SOUTHERN CALIFORNIA,FALSO
09May2014:18:38:06.000000,3300,740-759,"$1-$10,000","Ingreso anual neto: $15,400",SOUTHERN CALIFORNIA,FALSO
09May2014:18:59:27.000000,6700,740-759,"$10,001-$20,000","Pagos mensuales de deuda verificados: $220...Ingreso mensual neto 2,430",NORTHERN CALIFORNIA,FALSO
12May2014:09:13:10.000000,3600,740-759,"$1-$10,000","Ingreso anual neto: $15,000",NEVADA,FALSO
12May2014:09:28:04.000000,2500,780-799,"$100,000+","Pagos mensuales de deuda verificados: $2,580",NORTHERN CALIFORNIA,VERDADERO
12May2014:09:37:01.000000,2500,780-799,"$30,001-$40,000","Ingreso mensual neto 3,820",ARIZONA,FALSO
12May2014:10:04:24.000000,4100,700-719,,El cliente no tiene deuda,ARIZONA,FALSO
12May2014:10:24:24.000000,4800,740-759,"$10,001-$20,000","Ingreso anual neto: $15,000",SOUTHERN CALIFORNIA,FALSO
12May2014:10:46:49.000000,19000,740-759,,El cliente no tiene deuda,NORTHERN CALIFORNIA,FALSO
12May2014:10:59:38.000000,9800,720-739,"$90,001-$100,000","Pagos mensuales de deuda verificados: $1,580",NORTHERN CALIFORNIA,FALSO
12May2014:11:21:44.000000,2500,700-719,"$10,001-$20,000","Ingreso anual neto: $23,800",NEVADA,VERDADERO
12May2014:11:49:36.000000,2500,780-799,,,ARIZONA,VERDADERO
12May2014:12:07:11.000000,8600,760-779,"$20,001-$30,000",,ARIZONA,FALSO
12May2014:12:40:57.000000,11600,800+,,"Ingreso anual neto: $180,900",ARIZONA,FALSO
12May2014:13:02:27.000000,8500,700-719,"$1-$10,000",,WASHINGTON STATE,FALSO
12May2014:13:32:52.000000,2500,720-739,,,OREGON,FALSO
12May2014:14:06:10.000000,5100,800+,"$60,001-$70,000","Pagos mensuales de deuda verificados: $1,120...Ingreso mensual neto 16,670",NORTHERN CALIFORNIA,FALSO
12May2014:14:14:42.000000,5100,780-799,,"Ingreso mensual neto 1,250",ARIZONA,FALSO
12May2014:14:22:04.000000,31500,740-759,"$100,000+","Ingreso anual neto: $200,000",SOUTHERN CALIFORNIA,VERDADERO
12May2014:14:50:20.000000,18100,760-779,"$10,001-$20,000","Ingreso anual neto: $51,800...Pagos mensuales de deuda verificados: $320",NEVADA,FALSO
12May2014:15:06:29.000000,5300,800+,"$20,001-$30,000",Pagos mensuales de deuda verificados: $400,WASHINGTON STATE,FALSO
12May2014:15:29:31.000000,8500,740-759,"$1-$10,000","Ingreso anual neto: $15,000",NORTHERN CALIFORNIA,FALSO
12May2014:15:59:20.000000,3800,780-799,"$70,001-$80,000",,ARIZONA,VERDADERO
12May2014:16:11:19.000000,5300,740-759,,El cliente no tiene deuda,ARIZONA,FALSO
12May2014:16:28:01.000000,2500,740-759,"$10,001-$20,000",,NORTHERN CALIFORNIA,FALSO
12May2014:16:35:45.000000,6400,760-779,"$10,001-$20,000","Ingreso mensual neto 1,250...Pagos mensuales de deuda verificados: $290",ARIZONA,FALSO
12May2014:17:05:50.000000,3200,700-719,"$70,001-$80,000",,NEVADA,FALSO
12May2014:17:19:29.000000,2500,700-719,"$50,001-$60,000",Pagos mensuales de deuda verificados: $920,WASHINGTON STATE,FALSO
12May2014:17:37:42.000000,5700,720-739,"$30,001-$40,000","Ingreso anual neto: $15,000",NEVADA,FALSO
12May2014:18:04:37.000000,2500,760-779,,,ARIZONA,FALSO
12May2014:18:25:25.000000,4300,720-739,"$70,001-$80,000","Ingreso mensual neto 9,380",SOUTHERN CALIFORNIA,FALSO
12May2014:18:51:57.000000,5000,700-719,,"Ingreso mensual neto 3,980",WASHINGTON STATE,FALSO
13May2014:09:04:42.000000,35000,760-779,,,ARIZONA,VERDADERO
13May2014:09:12:32.000000,14100,700-719,"$70,001-$80,000","Ingreso mensual neto 5,580",SOUTHERN CALIFORNIA,FALSO
13May2014:09:26:33.000000,5500,760-779,"$100,000+","Ingreso mensual neto 10,030",SOUTHERN CALIFORNIA,FALSO
